,Question,Answers,Right Index
0,What is the difference between these two snippets?,"['Only the second one will work; jQuery does not have a function called .on.', 'The second snippet will not function.', ""Nothing .click(function) is shorter way to write .on('click', function)."", 'The first snippet will execute for every button on the page, the second will only apply to the first button.']",2
1,What does the following line of code do?,"['Loads a paragraph tag from a remote server using AJAX', 'Aliases jQuery to a variable p', 'Selects all paragraphs on the page', 'Creates a new paragraph tag and inserts it into the body tag']",2
2,"Given the following HTML, how could we use one line to hide or show the button?","[""$('.btn-primary').toggle();"", ""$('.btn-primary').showHide();"", ""$('.btn-primary').not(':visible').show();"", ""$('.btn-primary').css({ display: 'block'});""]",0
3,"Working with AJAX, we may run into situations where a piece of code should not be run until after multiple AJAX calls have completed successfully. Say we need to call two external services for JSON data (a list of students, and a list of classes). And only after retrieving those data will we perform some manipulations on a page. What is the preferred way for dealing with this scenario?",['A'],-1
4,"Given the snippet of HTML below, what is the difference between the two lines that follow it?",['B'],-1
5,"Suppose we want to have a ball created from an HTML element (id=ball) move down and to the right from its original location when clicked, and move back into its original place when finished. Given a starting point of this, which of these snippets would accomplish that goal?",['C'],-1
6,"Given the following CSS and HTML codes below, how could you apply the success class to the feedback div?",['D'],0
7,"The following page snippet includes a couple of messages in a list, and a code snippet that retrieves a few hundred messages from an API endpoint using AJAX. How can you add these new items to the .message-area--list element in the most performant way?","['m 1', 'm 2', 'm 3', 'm 4']",-1
8,What is jQuery?,"["".get() retrieves a DOM element, and can't be chained, eq() retrieves a jQuery object, and can be chained."", "".get() retrieves a jQuery object, and can't be chained, eq() retrieves a DOM element, and can be chained."", '.get() retrieves a jQuery object, and is zero-indexed, eq() retrieves a DOM element, and is 1-indexed.', '.get() retrieves a DOM element, and is zero-indexed, eq() retrieves a jQuery object, and is 1-indexed.']",0
9,We want to create a new jQuery plugin called linkUpdater that can be chained onto other jQuery selector like a normal plugin. It should update all the links in the referenced collection so they open in new windows or tabs. Below is the first cut. What is one problem with this plugin?,['A'],0
10,"Generally speaking, when used on a web page, how should jQuery be installed, and why?",['B'],-1
11,"Given the following HTML, how could we make this button disappear from the page using jQuery?",['C'],-1
12,What is the difference between $('header').html() and $('header').text()?,['D'],-1
13,"When writing jQuery plugins, we often provide default options that may be overridden by the end user. What jQuery function is most useful for this purpose?","[""$('.feedback').hasClass('.success');"", ""$.css('.feedback', '.success');"", ""$('.feedback').addClass('success');"", ""$('.feedback').css('.success');""]",2
14,"There are times when you might want to programmatically trigger an event, instead of simply reacting to user input directly. Given this markup, Which choice will NOT cause a click event to the select box when the button is clicked?","['sting message 1', 'sting message 2']",-1
15,"You have an absolutely positioned element inside a relatively positioned parent element, and you want to animate that element within its parent element. What jQuery function is most useful for finding the initial coordinates of the .animate-me?",['A'],-1
16,You want to work with AJAX using a Promise-like interface instead of nested callback functions. What jQuery API should you use?,['B'],0
17,"What is tricky about jQuery's nth- filters (:nth-child, :nth-of-type, etc.) relative to other filters?",['C'],-1
18,"jQuery's AJAX functions return objects that implement the Promise API. As a result, you can chain promises and avoid nested callbacks. What does that look like?",['D'],-1
19,"You want to have a ball that is created from an HTML element (id=ball) move down and to the right of its original location when clicked, and move back to its original place when finished. What snippet, added to the code below, would do this?","['jQuery is a bridge between Java and Javascript that makes native apps easier to write.', 'jQuery is a plugin for JavaScript that makes database queries easier to write.', 'jQuery is a collection of JavaScript functions that makes finding and manipulating elements on a page, AJAX, and other things easier.', 'jQuery is a Chrome extension that allows users to create their own extensions with just a few lines of JavaScript.']",2
20,"The way .wrap() works is sometimes misunderstood. Given the DOM and jQuery snippets below, what does the modified DOM snippet look like?","['this needs to be wrapped, like $(this), in order to be chained in a plugin.', ""jQuery plugins can't be safely authored in strict mode."", 'In order to be used by other code, plugins need to be added to the global namespace, not wrapped in a function expression.', 'Our plugin should extend jQuery.fn, not jQuery itself.']",3
21,How can you select the following blockquote AND the list in a single call to jQuery() without chaining?,"['Just before the closing body tag, because we want to avoid blocking other resources from loading, and we use the ready method to make sure our code fires after the DOM is ready', 'Using the highest version number possible because only jQuery 3 and up are compatible with Internet Explorer 7', 'In the head tag because we want jQuery available as soon as possible', 'From a CDN because we want to be able to use jQuery online or offline']",0
22,"Effects like show, hide, fadIn, and fadeOut can be called with no arguments, but can also take arguments for how long they should last. Which is NOT a duration argument supported by these functions?","[""$('.btn-primary').hide();"", ""$('.btn-primary:visible').not();"", ""$('.btn-primary').visibility(false);"", ""$('.btn-primary').show(false);""]",0
23,"Though jQuery offers visual effects, it is considered a best practice to use CSS to set up different states triggered by classes, where it makes sense. What's the easiest way to enable and disable a class bounce on an element with the ID dialog?","[""$('header').html() returns the inner HTML of the header. $('header').text() returns only the text"", ""$('header').html() returns only the HTML tags used, without the text. $('header').text() returns only the text"", ""$('header').html() strips all HTML from the header. $('header').text() always returns an empty string."", ""$('header').html() returns all headers in an HTML document. $('header').text() the first line of a text file.""]",0
24,What is the main difference between selectors and filters?,"['\\$.extend', '\\$.clone', '\\$.fn.extend', '\\$.merge']",0
25,You want to create a custom right-click menu. How might you start the code?,"[""$('button').on('click.myApp', (function() { $('input[type=select]').trigger('click'); });"", ""$('button').on('click', (function() { $('input[type=select]').click()); });"", ""$('button').trigger(function() { $('input[type=select]').click(); });"", ""$('button').click(function() { $('input[type=select]').click(); });""]",0
26,What is the correct way to check how many paragraphs exist on a page using jQuery?,"[""$('.animate-me').offset();"", ""$('.animate-me').each();"", ""$('.animate-me').position();"", ""$('.animate-me').offsetParent();""]",0
27,"As with many areas of JavaScript, keeping track of the meaning of this is important and sometimes tricky. What does this mean at each of the two points in this custom plugin snippet?","['jQuery.sub', 'jQuery.ajaxTransport', 'jQuery.Deferred', 'jQuery.proxy']",2
28,"How can you make the first list item bold and the next item oblique, in a single statement chain?","['Referring to lists of items, they are 1-indexed (like CSS), not 0-indexed (like JavaScript).', ""They don't return the jQuery object, and cannot be chained."", 'They can return the wrong items if the DOM was recently manipulated.', ""They are not part of CSS, so they don't get the performance benefits of passing through the document.querySelectorAll.""]",0
29,Which CSS selectors can you NOT use in jQuery?,['A'],0
30,"Starting with some DOM elements in the nested structure below, you assign listeners for the same event to a child element and one of the parents using the JavaScript that follows. You want to ensure that when .leaf is clicked, only its event handler will be fired, instead of the click bubbling up and also firing the parent's click handler. What do you need to add to its handler function?",['B'],-1
31,"Using event delegation, you can listen for events on a lot of different items without having to attach separate listeners to each one. But there are times when you may want to check the type of item receiving the event before doing anything, such as checking if an image was clicked versus a text field. Given the starter code below, which choice shows what jQuery provides to help with that process?",['C'],-1
32,"There are many ways to create elements that can be added to the page. Which answer is NOT one of those ways, assuming you have the following on the page?",['D'],-1
33,The .addClass() and .removeClass() methods can accept functions as arguments. What does this function do?,['A'],-1
34,"You're working on a site that uses an old version of jQuery, and you want to update to a newer version. What's the most efficient way to do so?",['B'],0
35,Let's say you have a page with just one link on it. How can you change the anchor tag so it links to example.com?,['C'],-1
36,What does $() mean in jQuery?,['D'],-1
37,"Along with DOM traversal and manipulation, jQuery offers several general-purpose helper functions that fill in some JavaScript gaps, especially before ES2015. Which is NOT a jQuery utility function?",['A'],-1
38,"Given this set of checkboxes, how can you select the ones that have the phrase ""sun"" as part of the value?",['B'],0
39,How can you get an AJAX request to go through without triggering any of jQuery's AJAX events?,['C'],-1
40,"How do you change the current value of a text field with the class .form-item to ""555-1212""?",['D'],-1
41,How would you fire a callback when any AJAX request on a page has completed?,"['m 1', 'm 2', 'm 3', 'm 4']",-1
42,"Given this set of checkboxes, how can you select the one with the value ""blimp""?","[""$('.quotes + .menu-first')"", ""$('.quotes .menu-first')"", ""$('.quotes, .menu-first')"", ""$('.quotes' + '.menu-first')""]",2
43,"Given this snippet of HTML and jQuery code, what does the jQuery do?","['""fast""', '""extreme""', '2000', '""slow""']",1
