,Question,Answers,Right Index
0,"When developing a backlink strategy, what approach would be most beneficial?","['Guest post the article to as many sites as possible', 'Create an infographics and share it with relevant bloggers', 'Create diverse and unnatural links', 'Distribute links in comment sections of websites']",0
1,What is a key reason the URL domain.com/apparel/jackets is preferable to the URL domain.com/p=141?,"['It is longer', 'It is not preferable', 'It uses structured markup', 'It is readable to a human']",3
2,Which HTTP response status code would indicate a page has been moved permanently?,"['410', '302', '200', '301']",3
3,You notice a website is serving HTML to a Search Engine than to a human user. What is this an example of?,"['Spam injection', 'Cloaking', 'Sneaky Redirect', 'Splicing']",1
4,What would significantly improve Google's ability to a non-YouTube video in its Search Results?,"['Provide a 150 x 80 pixel thumbnail image', 'Add Schema.org VideoObject', 'Convert .mp4 videos to .mov', 'Embed video objects with JavaScript conditionals']",1
5,Google primarily determines indexing and ranking by crawling which version of a page?,"['Responsive version', 'Submitted version', 'Mobile version', 'Desktop version']",0
6,You want to identify which US state has the most search interest for a particular keyword. What tool would help you determine this?,"['Google Analytics', 'Google Keyword Planner', 'Google Search Console', 'Google Trends']",3
7,You want to block crawlers from accessing your entire website. What robots.txt entry would you use?,[''],-1
8,Which result is most likely if you use an interstitial pop-up that requires a user to take action before you load the content of the page?,[''],-1
9,"You notice a particular product in an e-commerce storefront is no longer indexed, despite no technical issues. What is a likely reason for this?",[''],-1
10,"All bylone dates for articles are suddenly no longer visible on a website&#39;s listing within Google Search. Assuming no changes have been made to the site programming or content, what is the most likely cause?",[''],0
11,Which approach is not advisable to Geo-targeting your website?,"['Both the pop-up and the content of the page will be indexed', 'The pop-up will be indexed instead of the desired body content', 'An interstitial pop-up is treated the same as a soft 404', 'The pop-up will be ignored, and the content of the page will be indexed correctly']",1
12,You have been asked to help a big e-commerce brand optimize their website for search engines. They currently have thousands of products listed on their website. What is your most appropriate first step?,"['No title or meta description tags were provided', 'The Keywords is too competitive', 'Robots.txt is configured to allow access', 'The product is out of stock']",0
13,"What Does The Term ""Sandbox"" Mean In SEO?","['The site has been delisted from Google Search', 'A Google News sitemap was not provided within 30 days of setting up a publisher center account', 'The site kept updating the dates to make the content appear fres, without changing', 'The articles have aged more than 365 days without any significant updates to the content or the site']",3
14,What Is Anchor Text?,"['Using a gTLD with subdomain', 'using URL parameters', 'Using a ccTLD', 'Using a gTLD with a subdirectory']",1
15,Which Google search query should be used to return only PDF documents that reference Microsoft?,"['Recommend that they add more products', 'Work on compressing image files', '302 redirect all product pages to URL that contains target keywords', 'Register the business with a Google My Business account.']",1
16,Which link is not crawlable?,"['The Box With Paid Ads That Appear When You Perform A Search.', 'This Is Where Sites Are Kept Till They Get Mature Enough To Be Included In The Top Rankings For A Particular Keyword', 'A Special Category Of Sites That Are Listed In Kid-safe Searches', 'The First 10 Search Results For A Particular Keyword.']",1
17,Which choice represents the best header structure?,"['It Is The Main Body Of Text On A Particular Web Page', 'It Is The Text Within The Left Or Top Panel Of A Web Page', 'It Is The Visible Text That Is Hyper Linked To Another Page', 'It Is The Most Prominent Text On The Page That The Search Engines Use To Assign A Title To The Page']",2
18,"All byline dates articles are suddenly no longer visible on a website's listing within Google Search. Assuming no changes have been made to the site programming or content, what is the most likely cause?","['Microsoft + .pdf', '""Microsoft"" + ""pdf""', 'Microsoft AND ""pdf""', 'Microsoft filetype:pdf']",3
19,What is an example of a Google search result that can be found in position zero?,"['<a href=""http://domain.com"">', '<a onclick=""newwin(\'domain.com\')"">', '<a href=""http://domain.com"" class=""blue"">', '<a href=""../category-2/page"">']",1
20,"When creating accessible video content, what should you consider including?",[''],-1
21,You are optimizing a website that sells supplies for banking donuts. Which approach is most appropriate to drive more organic traffic?,[''],-1
22,Why is it important to be mindful of outbound follow links?,[''],-1
23,Which statement is true about JSON-LD?,[''],0
24,What is a key reason why duplicate content might cause an issue with ranking?,"['The site has been delisted from Google Search', 'The site kept updating the date to make the content appear fresh, without changing the content.', 'The articles have aged more than 365 days without any significant updates to the content or the site.', 'A Google New sitemap was not provided within 30 days of setting up a Publisher Center account']",1
25,What attribute would you use to describe the content of an image?,"['Google Ads result', 'featured snippet', 'related searches', 'autocomplete']",1
26,You are researching keywords for a client and creating list for an optimization plan. Which is not a recommended method of creating keyword lists?,"['transcript', 'thumbnail', 'Flash Player', 'event tracking']",0
27,You want to get a rough idea of how many searches per month a particular search term gets. Which tool do you use?,"['Buy donutbakingsupplies.com and 301 redirect to your website', 'Add the keyword ""donut supplies"" to every page.', 'Create a new blog with high-quality donut recipes', 'Join a link farm to rapidly build inbounnd links.']",2
28,Changing the title tag and/or meta description will have a measurable impact on your _.,"['There is a limit to how many links you can create.', 'all of these answers', 'Any follow links reduce your PageRank by 1.', ""Your site's reputation is tied to the sites you link to.""]",3
29,How do keywords change as people progress through the buying cycle?,"['It has no relation to JSON.', 'It is the only structured data format available.', 'It is considered the most complicated approach to adding structured data.', ""It is Google's preferred structured data format.""]",3
30,Which technique is an example of black hat SEO?,"['It creates an inability to use canonical URLs, which dramatically reduces crawl effectiveness,', 'It requires using a 302 redirect, which dilutes PageRank.', 'It triggers an immediate manual action penalty, which delists an entire domain until the duplicate content is removed.', 'It makes it difficult for a search engine to determine the original and authoritative content source.']",3
31,A local accountant wants to start attracting more business directly from Google organic search. What is the best piece of advice to give to her?,"['tabindex', 'longdesc', 'src', 'alt']",3
32,What is the anchor text in this code sample?,"['synonyms and related words', 'queries about benefits, features, problems', 'how-to and question-based queries', 'focusing on only high-volume, high-popularity words']",3
33,"_ analysis allows you to review requests made to your web server to identify insights such as how ofter a crawler arrives, what pages have 404 errors, and most crawled pages","['Google Keyword Planner', 'Google Tag Manager', 'Google Search Console', 'Google Suggest']",0
34,Which page title references content that is evergreen,"['RSS', 'CTR', 'PPC', 'LSI']",1
35,"You load a page and start reading an article, and suddenly the content on the page moves. What metric is used to quantify this impact on user experience?","['They move from simple to more complex as searchers gather more information and then refine their choices.', 'The stay simple, as searchers try to use as few words as possible.', 'The keywords do not change much at all.', 'They move from complex to simple, as searchers find answers to their questions.']",0
36,What is this code is an example of?,"['cloaking', 'keyword research', 'useful content', 'on-page optimization']",0
37,Which search query would be most difficult to determine search intent?,"['Use the pharse ""local accountant"" as a keyword to focus her website on.', 'Focus on short-tail keywords.', 'Register her business with a Google My Business account.', 'Leave a link to her website in the blog comments of popular accounting websites.']",2
38,"When you conduct a search, what are the bolded words within the search listing description?","['Blue Gloves', 'href', 'catalog/', 'gloves.html']",0
39,Which acronym is used to describe the page a user sees after submitting a search?,"['Log file', 'HTTP/2', 'Cron job', 'Resource packet']",0
40,"Which statement is true regarding the use of social signals, such as LinkedIn shares, by Google in its ranking algorithm?","['Mega List of Teams Going to the Olympics', ""Complete Coverage of Microsoft's Latest Announcement"", 'The Future of SEO in 2020', 'How to Reheat Pizza']",3
41,"A user clicks an internal link resulting in this redirect chain: http://domain.com -> https://domain.com -> https://domain.com/. In this example, what is being consumed unnecessarily?","['First Meaningful Paint (FMP)', 'Recalculated Style Timing (RST)', 'Latent Loading Signal (LLS)', 'Cumulative Layout Shift (CLS)']",3
42,You are planning for the development of an e-commerce website. Which approach will be more beneficial for rankings?,"['meta tag', 'HTTP response', 'XML sitemap', 'structured data']",3
43,What is the relationship of click depth to PageRank?,"['XBox live coupon', 'Microsoft Office 365', 'LinkedIn login', 'LAX airport directions']",1
44,What is a popular technique for writing content with the goal of having it appear in a features snippet?,"['suggested search terms', 'related search queries', 'keywords that match the search query', 'words with a <b> tag assigned in their meta description']",2
45,What is a common best practice for handling search result pages on a blog's built-in site search?,"['SERP (Search Engine Results Page)', 'INDX', 'PARS', 'SEM']",0
46,What might help a search engine understand the difference between an article on a dog bark versus tree bark?,"['Google does not use social signals to determine rank', 'Social signals are identical to backlinks', 'Social signals are used to determine topic authority', 'Social signals provide a benefit only if they have structured data markup']",2
47,"A webpage has this tag: <title>Brad's Bagels: How to Bake a Bagel</title>. However, the Google search result for this page displays this title: _Brad's Bagels: Baking Bagels in the Oven_. What is a likely explanation?","['redirect allotment', 'crawl budget', 'velocity scale', 'domain authority']",0
48,What alt attribute should be assigned to an image of a decorative line being used to separate content,"['Optimize the front page of your website to drive traffic from all category search terms.', 'Optimize product category pages to drive traffic from individual category search terms.', 'Optimize all pages on the site for all category search terms.', 'Optimize product pages to drive traffic from individual category search terms.']",0
49,Your site serves identical content when you visit domain.com/page or domain.com/page?ref=123. What should you implement?,"['The deeper the click depth, the lower the PageRank', 'PageRank and click depth have no relation', 'The deeper the click depth, the higher the PageRank', 'Click depth and PageRank are equal']",0
50,What data vocabulary is most commonly used when marking up content on a page?,"['Write the question in a headline tag, and then answer it below in a format that matches the snippet type.', 'Use the features snippet schema and apply an object that matches the correct snippet type.', 'Google manually generates featured snippets, so there is no special technique.', 'Submit the content through Google Search Console, and tag it with the correct snippet type.']",0
51,"According to Google, what type of content includes topics such as news, legal issues, financial advice, and medical information?","['Set site research results to no-index.', 'Do not use site search.', 'Set site search to 404.', 'Add a canonical from the search result page to the home page.']",0
52,When would it be necessary to 301 redirect every page on a site?,"['tertiary analysis', 'ranked choice trees', 'semantic analysis', 'knowledge graphs']",2
53,What would contribute to a low bounce rate?,"['The title tag was placed within the  section of the webpage, but not before the meta content tags, so Google cannot identify the actual title.', 'The page is using structured data to define an alternative title object, which allows the search engine to pick a preferable version.', 'A breadcrumb navigation is in use, which overrides the title tag supplied in the HTML.', 'Google generated a new title using text on the page that more closely matched the search query.']",3
54,What should be as consistent as possible across the web when developing a local SEO strategy?,"['alt=""""', 'alt=""Thin black line being used to seperate two blocks of content""', 'alt=""dec""', 'alt=""thin-line""']",0
