,Question,Answers,Right Index
0,"By convention, what name is used for the first key in a JSON schema?","['schema', '\\$schema', 'JsonSchema', 'JSONschema']",1
1,Which code is the closest JSON equivalent of the data shown?,[''],-1
2,Which JavaScript method converts a JavaScript value to Json?,[''],-1
3,Which data type is NOT part of JSON standard?,[''],0
4,Which term is commonly used to refer to converting data to JSON?,[''],-1
5,Which code uses the correct JSON syntax to encode the key/value pair shown?,"['JSON.parse()', 'JSON.stringify()', 'JSON.toString()', 'JSON.objectify()']",1
6,What character do you specify before a JSON control character when you want to use that control characters as a literal part of a string?,"['string', 'number', 'date', 'array']",2
7,Which date type is part of the JSON standard?,"['unpacking', 'serialization', 'deserialization', 'parsing']",1
8,Which key name is used to specify properties that must be included for JSON to be valid?,"['""accountNum"": ""000605802""', 'accountNum: ""000605802""', '""accountNum"": 000605802', 'accountNum: 000605802']",0
9,Which is the valid JSON equivalent of the data shown?,"['/', '\\', ':', '{']",1
10,How do you store several paragraphs of text as a string in JSON?,"['Boolean', 'map', 'promise', 'function']",0
11,What data type is represented by the value of the key/value pair shown?,"['important', 'base', 'core', 'required']",3
12,"If you need to store the loggedIn status of a user in JSON as a boolean, what is the correct syntax?",[''],-1
13,What does JSON with padding (JSON-P) use to make a request?,[''],-1
14,Which value is supported in the JSON specifications?,[''],0
15,Which JavaScript method converts JSON to a JavaScript value?,[''],-1
16,Transferring JSON information from client to server and back again often includes HTTP requests. Match each method with the best choice describing its use.,"['Escape all whitespaces expect space characters.', 'Escape line breaks.', 'Escape paragraphs.', 'Remove all whitespaces']",0
17,"Which code uses valid JSON syntax for the text ""Centennial Olympics?","['string', 'Boolean', 'number', 'object']",1
18,Can trailing commas be used in objects and arrays?,"['""loggedIn"": (true)', 'loggedIn: ""true""', '""loggedIn"": true', 'loggedIn: {true}']",2
19,Which whitespace characters should be escaped within a string?,"['an <origin> element', 'a header request', 'the <script> element', 'the XMLHttpRequest object']",2
20,Which is supported by YAML but not supported by JSON?,"['undefined', 'infinity', 'NaN', 'null']",3
21,Which is an invalid JSON value?,"['JSON.parse()', 'JSON.stringify()', 'JSON.toString()', 'JSON.objectify()']",0
22,How do you encode a date in JSON?,"['1.POST 2.DELETE 3.OPTIONS 4.HEADER 5.GET 6.PUT', '1.POST 2.PUT 3.HEADER 4.OPTIONS 5.GET 6.DELETE', '1.POST 2.DELETE 3.OPTIONS 4.HEADER 5.GET 6.PUT', '1.POST 2.PUT 3.HEADER 4.OPTIONS 5.GET 6.DELETE']",3
23,Whatâ€™s wrong with this JavaScript?,[''],-1
24,What does this JavaScript code print?,[''],-1
25,What tool might you use to validate your JSON?,[''],-1
26,What characters denote strings in JSON?,[''],0
27,Which code is a valid JSON equivalent of the key/value pair shown that also preserves the data type? constant: 6.022E23,"['yes', 'only if there is more than one item', 'no', 'only when arrays and objects contain more than 10 items']",2
28,Which element is added to the DOM to create a JSON-P request?,"['All whitespace is allowed.', 'double quotes, slashes new lines, and carriage returns', 'new lines and carriage returns only', 'double quotes only']",2
29,Why do so many APIs use JSON?,"['nested', 'comments', 'arrays', 'null values']",1
30,"You need to assemble a list of members, but your JSON is not parsing correctly. How do you change it?","['""\'|=(_)(X 72(_)|\\/||\\*\'""', '""|=(_)(X 72(_)|\\/||\\*""', '""|=(_)(X\\"" \\""72(_)|\\/||\\*""', '""\\s(_)(X 72(_)|\\/||\\*""']",3
31,"When building dynamic web applications using AJAX, developers originally used the _ data format, which has since been replaced by JSON.","['Convert the date to UTC and enclose in quotes.', 'Encode the date as string using the ISO-8601 date format.', 'Wrap the date in double quotes.', 'Add a ""date"" key to your object and include the date as string.']",1
32,How is a true boolean value represented in JSON?,"['JSON should be wrapped with curly braces.', 'JSON.parse() is missing an argument.', 'The value supplied to JSON.parse() is not a string.', 'Nothing is wrong with it.']",2
33,Which array is valid JSON?,['A'],0
34,What data type is encoded in the outermost component of the JSON shown?,['B'],-1
35,Which is ignored by JSON but treated as significant by YAML?,['C'],-1
36,"When you need to set the value of a key in JSON to be blank, what is the correct syntax for the empty value?",['D'],-1
37,How do you assign a number value in JSON?,"['JSONLint', 'ValidateJSON', 'JSONFiddle', 'TextEdit']",0
38,Which code uses the correct JSON syntax for encoding a key/value pair with a null value?,"['double quotes', 'smart (curly) quotes', 'single or double quotes', 'single quotes']",0
39,Which reference to the Unicode character U+1F602 complies with the JSON standard?,"['""constant"": ""6.022E23""', '""constant"": ""6\\.022\\E23""', 'constant: 6.022E23', 'constant: ""6.022E23""']",0
40,Which code uses the correct JSON syntax for a key/Value pair containing a string?,"['<object>', '<script>', '<json>', '<meta>']",1
41,Which key name is used to specify data type in a JSON schema?,"[""Because it's object-based."", ""Because it's a simple and adaptable format for sharing data."", ""Because it's based on JavaScript."", 'Because it is derived from SGML.']",2
42,Which code is a valid JSON equivalent of the key/value pair shown that also preserves the original value?,['A'],0
43,Which data format is a JSON schema written in?,['B'],-1
44,Which code is valid JSON equivalent of the key/value pair shown that also preserves the data type?,['C'],-1
45,With what character should key/value pairs be separated?,['D'],-1
46,What character separates keys from values?,"['XML', 'GRAPHQL', 'REST', 'SOAP']",0
47,"If a string contains line breaks, what should you do?","['TRUE', '""true""', '1', 'true']",3
48,Which number types are available in javascript but not supported in json?,"[""['tatooine', 'hoth', 'dagobah']"", '[tatooine, hoth, dagobah]', '[""tatooine"", ""hoth"", ""dagobah"",]', '[""tatooine"", ""hoth"", ""dagobah""]']",3
49,How should a date value be stored in JSON?,"['object', 'array', 'number', 'string']",1
50,Is the JSON code shown here valid?,"['trailing commas', 'trailing decimals', 'whitespace', 'leading zeroes']",2
51,What data structure do you use to encode ordered information?,"['FALSE', '0', '""""', 'null']",3
52,What are valid values in JSON?,"['Escape the number with a backslash.', 'Enclose the number in double quotes.', 'Enclose the number in single quotes.', 'Leave the number as is.']",3
53,Which key format is valid JSON?,"['""lastVisit"": ""null""', 'lastVisit: null', '""lastVisit"": 0', '""lastVisit"": undefined']",0
54,What data type is encoded in the outermost component of the JSON shown?,"['128514', 'd83dde02', '\\uD83D\\uDE02', '\\😂']",2
55,What's wrong with this JSON object?,"['""largest"": ""blue whale""', ""largest: 'blue whale'"", ""'largest': 'blue whale'"", 'largest: ""blue whale""']",0
56,How should comments be formatted in JSON?,"['data', 'schemadata', 'schematype', 'type']",3
57,How would you make the following string valid in JSON?,"['""UPC"": \\043875', 'UPC: ""043875""', '""UPC"": 043875', ""UPC: '043875'""]",-1
58,How are values separated in JSON?,"['markdown', 'YAML', 'XML', 'JSON']",3
59,With which programming language is JSON best used?,"['""variance"": ""-0.0823""', 'variance: ""-0.0823""', '""variance"": ""-0.0823""', 'variance: -0.0823']",0
60,What values can arrays contain?,"['colon', 'space', 'semicolon', 'comma']",0
61,What technique can be used to represent complex objects with JSON?,"[':', '->', '::', '.']",0
62,What characters are used to enclose an array?,"['Wrap line breaks in single quotation marks', 'Make no changes, because whitespace is allowed', 'Replace any line breaks with \\r', 'Replace any line breaks with \\n']",3
63,What is the official MIME type for JSON?,"['Fractional and Transcendental', 'Infinity or Rational', 'Rational and Irrational', 'Infinity or NaN']",3
64,What character cannot be part of string within JSON without additional formatting?,"['As a string with quotes', 'As a string without quotes', 'As a string in ISO 8583 format', 'As a string in ISO 8601 format']",3
65,What is the purpose of JSON?,"['No, emojis must be escaped with a backslash.', 'No, JSON strings are not allowed to use emojis.', 'No, emojis should never be enclosed with double quotes.', 'Yes, emojis are valid characters because JSON strings are unicode.']",3
66,Can you assume the order of keys in an object?,"['list', 'array', 'struct', 'indexed hash']",1
67,With what character should object keys be enclosed?,"['arrays, strings, numbers, true/false', 'hashes, arrays, strings, numbers, booleans, null', 'arrays, objects, lists, strings, numbers, booleans', 'objects, arrays, strings, numbers, booleans, null']",3
68,What is the maximum number of key/value pairs that JSON supports?,"['key: ""value""', '""key"": ""value""', 'key, ""value""', ""'key': 'value'""]",1
69,What is the recommended term used to refer to multiple resources?,"['number', 'array', 'string', 'object']",3
70,Does JSON support signed numbers?,"['Key/value pairs should be separated by semicolons.', 'Keys should be enclosed with double quotes.', 'Key/value pairs should always have a trailing comma.', 'Keys and values should be enclosed with single quotes.']",1
