,Question,Answers,Right Index
0,"To mount a drive by its ID, what command would you use first to retrieve it?","['df -h', 'listid', 'ls -l', 'blkid']",3
1,Linux file access control lists (ACLs) are _.,"['discretionary access control system permissions layered over standard Linux permissions', 'mandatory access control system permissions layered over standard Linux permissions', 'a type of firewall for Linux', 'the same as standard Linux permissions']",0
2,"When using iproute2, how do you show routing information for an IPv6 network?","['route -ipv6', 'route', 'ip -6 route show', 'ip route show']",2
3,What does this command string do?,"['It finds all files using ls -l and hands them off to the find command to display.', 'It finds all files older than 10 minutes and long lists them using the ls command.', 'It finds all files larger than 10 MB and long lists them using the ls command.', 'It uses the ls command to find all files in the filesystem matching the {} wildcard.']",2
4,What would this locate command show?,"['all files in a directory named pixmaps', 'all files ending in "".jpg""', 'all file paths that start with ""/usr"", include the word ""pixmaps"", and end with "".jpg""', 'all file paths that include ""/usr/pixmaps"" and end with "".jpg""']",2
5,Which command allows you to do packet analysis from the command line?,"['wireshark', 'ethtool', 'netstat', 'tcpdump']",3
6,Which command will tell you how long a system has been running?,"['log', 'uptime', 'runtime', 'access']",1
7,How would you describe PCP (Performance Co-Pilot)?,"['It is an application testing suite used to profile programming code.', 'It is a local command used for monitoring local system resources in real time.', 'It is a set of tools, services, and libraries for gathering and analyzing performance measures.', 'It is a tool designed to change system configuration for purposes of optimization.']",2
8,You want to resolve a long list of DNS names using dig. What should you do?,"['Create a text file including all names and use the -f option of dig.', 'Type in each query manually.', 'Write a shell script to send multiple dig queries to the DNS server.', 'Save the DNS names in an SQL database and process it with dig.']",0
9,What would this command output?,"['the user ID, process ID, parent process ID, CPU usage, and command name of a process', 'the user ID, group ID, parent process ID, CPU usage, and command name of a process', 'the UUID, process ID, parent process ID, CPU usage, and command name of a process', 'all of these answers']",0
10,Which command in Bash executes the last line in the shell history that starts with ls?,"['!', '!!', '!*', '!ls']",3
11,The ssh-copy-id command copies _ to the remote host.,"['both private and public keys', 'the ssh public key', 'the ssh private key', 'a fingerprint file']",1
12,What command is used to determine the amount of disk usage for a directory?,"['find', 'fdisk', 'du', 'df']",2
13,"A backup drive was created using dd to make a bit-for-bit copy. When the drive is inserted into an iSCSI target before it is booted up, the data appears to be missing. What happened?","['The backup drive is corrupted and needs to be re-created.', 'When the backup drive was duplicates, the label was as well. When booted, the system mounted the old duplicates drive by its identical label.', 'There is a conflict between the physical location of the backup drive and the original drive.', 'The backup process went wrong, and the old drive was duplicates over the original drive.']",1
14,What is the key difference between a redirect (>) and piping to the tee command?,"['The tee command sends output only to STDOUT and STDERR.', 'A redirect sends output to STDOUT and a file, whereas a tee sends output only to STDOUT.', 'Nothing, they are the same.', 'The tee command sends output to STDOUT and a file, whereas a redirect sends output only to a file.']",3
15,What does the /etc/nsswitch.conf file manage?,"['priority of one DNS server over another', 'per network interface DNS server configuration', 'alternative DNS services', 'sources for name service information']",3
16,Assume the variable myNumber holds a string consisting of 10 digits. What will this command output?,"['It will only match digitsâ€”and since the string has only digits, the command will output the same number without changes.', 'It will output the same 10-digit number, but every digit will be inside parentheses.', 'It will output the entire 10-digit number inside parentheses.', 'It will output the same 10-digit number, but the first 3 digits will be inside parentheses.']",3
17,What would this sed command do?,"['It would substitute the letter with an ampersand (&).', 'It would replace all letters in the textfile.txt file with ampersand (&).', 'It would replace the first four letters with an ampersand (&).', 'It would place parentheses around the first four letters of each line of textfile.txt.']",3
18,Packages can be downloaded but not installed with yum or dnf by specifying which option?,"['None of these answers. yum does not support downloading packages without installing them.', '--downloaddir', '-d', '--downloadonly']",3
19,What character class is equal to this set?,"['[[:alnum:]]', '[[:digit:]]', '[[:alpha:]]', '[[:num:]]']",1
20,"When archiving files, which command will preserve all file attributes including ACLs and SELinux security context?","['zip', 'tar', 'archive', 'gzip']",1
21,"In a systemd-based OS, you can change the system hostname by editing /etc/hostname manually and then doing what?","['Restart dhcpd.', 'Run /etc/hostname.', 'Nothing, the system notices automatically.', 'Notify systemd to update it by restarting the systemd-hostnamed service.']",2
22,What command would you use to resize an LVM volume group to include an additional physical volume?,"['vgadd', 'vgresize', 'vgappend', 'vgextend']",3
23,When would this system cron job run its task?,"['every minute of the hour', 'every hour of every day', 'every day at 1:00 AM', 'only on Mondays']",2
24,ifconfig has been deprecated. What command is now recommended for changing IP addresses in the live config?,"['netconf', 'ipconfig', 'ipman', 'ip']",3
25,You are managing an Apache web server on a system using SELinux. By default it cannot read personal webpages in users' home directories. What SELinux boolean would you set to allow this?,"['apache_enable_homedirs', 'httpd_enable_userdirs', 'httpd_enable_homedirs', 'httpd_enable_userhome_dirs']",2
26,Why doesn't passwd -l keep a user from logging in via other methods?,"['The passwd command is not used for locking passwords.', 'There is no password -l option.', 'It locks only the password, not the account, so users can still authenticate with keys or other methods.', 'It does lock the account, keeping users from logging in even if they are using other authentication methods.']",2
27,"In the Bash shell, what is the difference between piping into | and piping into |&?","['Piping into | pipes both stdout and stderr. Piping into |& pipes only stderr.', 'Piping into | pipes stdout. Piping into |& pipes stdout and stderr.', 'Piping into | pipes both stdout and stderr. Piping into |& pipes only stdout.', 'Piping into | pipes stdout. Piping into |& pipes all open file descriptors.']",1
28,Why is the passwd command able to modify the /etc/passwd file?,"['The kernel identifies it as one of the names of extended commands.', 'It has the same name as the file it modifies.', 'It has the SUID permission mode and is owned by root.', 'It is a system administration command.']",2
29,"When a user deletes a file using the rm command, Linux will _.","['always ask for confirmation', 'back up the file before it deletes the file', 'ask for confirmation if configured to do so', 'never ask for confirmation']",2
30,What is a major advantage of using Logical Volume Management (LVM)?,"['Access to a drive is faster than with standard partitions.', 'Volumes can be resized smaller without unmounting them.', 'Repairing filesystem errors is easier than with standard partitions.', 'Volumes can be resized even if the free space is not contiguous.']",3
31,What is one major difference between brace expansion and globs?,"['Globs create a list; brace expansion matches pattern.', 'Brace expansion requires files to exist; globs do not.', 'Brace expansion creates a list; globs match the list of pathnames.', 'Globs get processes first and brace expansion later.']",2
32,"To remove all ACLs from a directory , use setfacl with which options?","['-d', '-k', '-b', '-x']",2
33,"Which choice will not print ""Hello World"" in the terminal?",['A'],-1
34,What is not inherited by child process?,['B'],0
35,What NFS option allows the root user to access NFS shares as the root user?,['C'],-1
36,You send an email to a remote client using the following syntax. What will be in the body of the email?,['D'],-1
37,What is the /etc/hosts file used for?,"['shell aliases', 'userid', 'environmental variables', 'scheduling priority']",0
38,"In an extended regular expression, you would use (pattern){3} to match three instances of the pattern. How would you match the same thing with an extended glob?","['no_admin_squash', 'no_root_squash', 'allow_root_access', 'all_squash']",1
39,"When configuring a Samba share, how would the engineering group be specified in the smb.conf?","['""This is a remote test""', 'the date, the time, and the words ""This is a remote test""', 'The email subject shows ""This is a remote test"" but the body of the email will be empty.', 'the current date and time']",3
40,"To configure the Kerberos client, which command should you use to import the keytab file?","['resolving the local name', 'blocking sites using iptables', 'setting the hostname', 'configuring DNS name servers']",3
41,"To search from the current cursor position up to the beginning of the file using VIM, type _ and then the search criteria.","['3(pattern)', '{0,3}(pattern}', ""Occurrence quantifiers are not supported in Bash's version of extended globs, so this is not possible."", '{3}(pattern})']",2
42,What is the job of the NetworkManager daemon?,"['Samba uses Linux operating system groups from the /etc/group file; just specify the group name.', 'It would be preceded by a percent sign (%), such as %engineers.', 'Use the group name by itself; Samba checks for its existence.', 'It would be preceded by an @ symbol, such as @engineering.']",3
43,Why might would you use the usermod command ?,"['krb5-workstation', 'ktutil', 'pam_krb5', 'kdb5_util']",1
44,Extending an LVM volume group does what to the formatted filesystem?,"['?', '\\', '/', '/search']",0
45,Which kernel module do you need to load to use interface bonding?,"['It is a graphical tool that manages network connections, including bonding and wireless networks.', 'It is a security service that manages user access control of local network-aware services.', 'It attempts to keep an active network connection available at all times.', 'It is a command-line tool that manages network connections.']",3
46,What does this command string do?,"['to log out a user', ""to lock a user's account"", 'to change global user account settings', ""to set a user's password""]",2
47,"To change the priority of multiple swap partitions, which file would you edit?","['It prepares the filesystem for use by defragmenting it.', 'It resizes the filesystem to match the volume group size.', 'It does nothing.', 'It remounts the filesystem with the new size.']",2
48,"What would you type to list all systemd service unit files, whether they are enabled or not?","['bonding.', 'team.', 'netbond.', 'bond.']",0
49,You can set Linux group passwords using which command?,"['It finds all files larger than 10k and long lists them using the ls command.', 'It finds all files of size 10k using ls -l and hands them off to the find command to display.', 'It finds all files in the / directory of size 10k and long lists them.', 'It finds all files in the file system smaller than 10k and long lists them using the ls command.']",3
50,"With most GNU commands, if an option is a word, what will it be preceded by?","['/proc/swapiness', '/etc/fstab', '/etc/mounts', '/etc/swaps']",1
51,"What would happen if you have a script file named script that takes a long time to complete, and you type nohup ./script & in the command line?","['systemctl list-services.', 'chkconfig --list-all', 'systemctl list-unit-files -at service', 'systemctl list-unit-files -t service']",2
52,"To elevate privileges using the sudo command, a user must _.","['gpasswd', 'passwd', 'editsam', 'grouppass']",0
53,When would this system cron job run its task?,"['two dashes', 'a backslash', 'one dash', 'nothing']",0
54,How does TCP Wrappers differ from a firewall?,"['The script will remain running in the background even if you reboot the system.', 'The script will run in your terminal and you will not be able to do anything until it completes.', 'The script will run in the background until you end the session.', 'The script will run in the background and will continue running even if you end the session.']",3
55,"As root, you set execute permissions for user, group, and other on a directory. Now users can do what?","[""enter the root user's password"", 'enter their own password', ""enter the sudo user's password"", 'change to the root group']",1
56,What will this command print?,"['on the 22nd of every month from June to May', 'at 10:00 PM Monday to Friday', 'every 22 minutes every day except weekends', 'from 1:00 AM to 5:00 AM on the 22nd of every month']",1
57,How can you improve this code snippet?,"['Firewalls are only service specific, whereas TCP Wrappers can block all traffic.', 'TCP Wrappers works at the network layer, so it blocks traffic before the firewall even sees it.', 'Firewalls easily spawn commands to operate on connection data, whereas TCP Wrappers cannot.', 'TCP Wrappers works at the application layer, so it can make access decisions on encrypted data.']",3
58,"Using a systemd-based distribution, you want to restrict the cron service from running either automatically or manually. Which command would you run?","['They can execute files in it.', 'They can traverse it.', 'They can read files in it.', 'They can delete files in it.']",1
59,What issue might a user have when they mount a filesystem by partition path such as /dev/sdal in the /etc/fstab file?,"['It will print nothing.', 'Thu Jun 4 15:45:45 PDT 2020', '0.6567708333333333', '4']",3
60,Which option would you choose to force grep to use a basic regular expression (BRE)?,"['The code snippet cannot be improved, this is a valid way of checking for the existence of a file.', ""Use Bash's built-in [[ ]] test conditions instead of the ls command."", 'The redirect to /dev/null will silence the return code invalidating the conditional. Removing the redirect will solve this.', 'The ls command will output the name of the file to the screen. Running ls in quiet mode will improve the code snippet.']",1
61,An rsyslogd filter determines which items in a log file to act on. What is it made up of?,"['systemctl disable crond', 'systemctl disallow crond', 'systemctl mask crond', 'systemctl stop crond']",2
62,Which choice is a Network Manager tool used to configure network connections from the GUI?,"['The device order may change on boot, resulting in a system that will not boot properly.', 'The user may run out of device letters.', 'There are no issues with referring to partitions by their partition path.', 'It is more difficult identifying mounted devices by partition path.']",0
63,What will not happen if you run the make command without parameters?,"['grep -E', 'grep -B', 'grep -e', 'grep -G']",3
64,Most commands that support SELinux use which option to display SELinux security context?,"['a facility and an action', 'a filter and an action', 'a facility and a priority', 'a filter and a priority']",1
65,What is the difference between the whoami and logname commands?,"['nmcli', 'ip', 'Onmtui', 'nm-connection-editor']",3
66,What is the command to create an associative array in Bash?,"['It will clean up all previously generated binaries and perform a new build.', 'It will run rules of compilation and building.', 'It will look for a file called makefile in your current directory.', 'It will build only programs that need to be rebuilt.']",0
67,What tool Should you use to replace a physical volum in LVM?,"['-S', '--selinux', '--MAC', '-Z']",3
68,What is the difference the == and =~ comparison operators when used in BASH double square bracket if conditionals?,"['whoami and logname provide the same information.', 'whoami tells who are you currently, and logname tells who you were when you logged in initially.', 'logname specifies the name of the login log file, and whoami prints the logged in username.', 'whoami shows you who logged in as initially, and logname shows who are you currently.']",1
69,What is the difference between these two lines of code?,"['declare -a', 'aarray', 'array -a', 'declare -A']",3
70,"Using backreferences in a POSIX regular expression, which word would this pattern match?","['lvcopy', 'tar', 'pvmove', 'cp']",2
