,Question,Answers,Right Index
0,Scala bytecode can run on top of Java VM. What is the fundamental difference between Java object.clone() and Scala object.copy()?,"['One is a Java object, the other is a Scala object.', 'clone() will copy class structures but not the data, while copy() will also copy data into new objects.', 'There is no difference.', 'copy() allows you to change values during the copying process; clone() does not.']",3
1,What value does this code return?,"['a', '2', 'b', '1']",3
2,What is one way to avoid low-level parallelization details?,"['monads', 'literal functions', 'partially applied functions', 'parallel collections']",3
3,What do you use in ScalaTest to see a detailed diagram of error messages when a test fails?,"['ArgumentExceptions', 'AssertionException', 'DiagrammedAssertions', 'JUnit']",2
4,What data type would you use to store an immutable collection of objects that contain a fixed number of varying types?,"['Array', 'ImmutableCollection', 'List', 'Tuple']",3
5,"After defining a function in the interpreter, Scala returns the following. What does the () indicate?","['The function has no side effects.', 'The function takes no parameters.', 'The function returns no value.', 'Returning unit types to the function is a closures.']",2
6,What type of number is 1234.e5?,"['hexadecimal', 'short', 'floating point', 'long']",2
7,"When you convert a map to a list using the toList method of the map, the result will be of which type?","['List[(String, String)]', 'List[(Array, Array)]', 'List[(Collection, Collection)]', 'List']",3
8,What type of object does this code create?,"['List', 'Map', 'Tuple', 'Array']",2
9,Which is a subclass of all classes?,"['AnyVal', 'AnyRef', 'Method', 'Null']",3
10,"For the for-yield construct, is the scope separate between for-body and yield-body?","['Yes and no. It is different depending on the for construct and what it does.', 'Yes, because the for section does not expose its scope.', 'No, because for-yield shares the same scope, even though they are within separate curly braces.', 'Yes, because they are within different curly braces.']",2
11,What is one way to implement pattern matching on methods?,"['using regex', 'using monads', 'using string matching', 'using case classes']",-1
12,What is the value of z after executing this code?,"['List(a,b,c)', 'List(List(a, b), c)', 'List(c,a,b)', 'List(c,List(a,b))']",1
13,What term is used to specify a precondition?,"['assert', 'require', 'precondition', 'mustHave']",0
14,"Which Scala type may throw an exception or a successfully computed value, and is commonly used to trap and propagate errors?","['scala.util.ExceptionHandling', 'scala.Catch.Throw', 'scala.exception.TryFinally', 'scala.util.Try']",3
15,What is the data type of y after this code is executed?,"['short', 'double', 'int', 'bigInt']",1
16,"When using pattern matching, which character matches on any object?","['%', '_', '^', '-']",1
17,You have created an array using val. Can you change the value of any element of the arrayâ€”and why or why not?,"['Yes, the reference to the array is immutable, so the location that the array points to is immutable. The values in the array are mutable.', 'The 0th element is immutable and cannot be modified. All other elements can be modified.', 'Yes, val does not make arrays immutable.', 'No, val makes the array and values of the array immutable.']",0
18,What is the output of this function?,"['1,2,3,4,5', '0,1,2,3,4', '1,2,3,4', '2,3,4,5']",2
19,What do you call objects with immutable state?,"['singletons', 'stationary objects', 'functional objects', 'fixed objects']",2
20,You have written a Scala script. How would you access command-line arguments in the script?,"['use array named args', 'use tuple named args', 'use numbered variables with a _ prefix for example _ 1, _ 2, _ 3', 'use numbered variables with a $ prefix - for example $1, $2, $3']",0
21,What does this code return? val x = 3; if (x > 2) x = 4 else x = x*2,"['4', 'an error', '6', '3']",1
22,Which statement returns a success or a failure indicator when you execute this code?,"['myFuture.onComplete', 'myFuture(status)', 'myFuture.Finished', 'complete(myFuture)']",0
23,"To denote a parameter that may be repeated, what should you place after type?","['%', '&', '_', '-']",3
24,What is called when a superclass has more than one subclass in Scala?,"['polyinheritance', 'multilevel inheritance', 'multimode inheritance', 'hierarchical inheritance']",3
25,"One way to improve code reliability is to use __ , which will evaluate a condition and return an error if the condition is violated.","['packages', 'polymorphisms', 'assertions', 'traits']",2
26,Which statement about if-else-if-else statements is true?,"['If the first else-if does not succeed, then no other else-ifs are tested.', 'If an else-if does not succeed, then none of the remaining else-if statements or elses will be tested.', 'All else-if statements are tested in all cases.', 'If an else-if succeeds, then none of the remaining else-if statements or elses will tested.']",3
27,What do you call the process of changing the definition of an inherited method?,"['recursive methods', 'currying methods', 'redefining methods', 'overriding methods']",3
28,"To denote a parameter that may be repeated, what should you place after the type?","['_', '*', '%', '&']",1
29,What is the code below equivalent to?,"['myClass.foreach(println ())', 'myClass.foreach(print NIL)', 'myClass.loop(println ())', 'myClass.foreach(x => println(x))']",3
30,What is an advantage of an immutable object?,"['Immutable objects use less memory than their mutable counterparts.', 'Immutable objects do not require error handling.', 'Immutable objects can be used in classes, mutable objects cannot.', 'Immutable objects are threadsafe.']",3
31,You want to create an iteration loop that tests the condition at the end of the loop body. Which iteration would you use?,"['do-while loop', 'while loop', 'for loop', 'do-until loop']",0
32,"What can you use to make querying a database more efficient, by avoiding the need to parse the SQL string every time a query is executed from Scala?","['database driver', 'connection', 'prepared statement', 'SQL view']",2
33,Which is not a member of the collections hierarchy?,"['Set', 'Seq', 'Hash', 'Map']",2
34,Which term makes the contents of packages available without prefixing?,"['use', 'include', 'import', 'assertion']",2
35,"If you wanted to find the remainder after division, what operator would you use?","['%', 'DIV', '//', '/']",0
36,What are defined inside a class definition?,"['method', 'fields and methods', 'fields, methods, and packages', 'fields']",1
37,What defines methods and fields that can then be reused by mixing into classes?,"['singleton', 'assertion', 'trait', 'monad']",2
38,When do you need to explicitly state the return type in a function definition?,"['when the function has no side effects', 'when the function returns a Unit type', 'when the function is recursive', 'when the function has side effects']",2
39,Why would you make a field private?,"['so only methods in the same file can access the field', 'so only methods in the same package can access the field', 'so only methods in the same class could access the field', 'so only methods defined in a Java class can access the field']",2
40,What's the difference between .equals and ==?,"['They do the exact same thing', ""== won't work on objects"", '== cannot be applied to String', '== is a wrapper of .equals() and checks for nulls']",3
41,What is denotes the intersection between two sets?,"['||', '&&', '&', '%']",2
42,What do you call a function defined in a block?,"['private function', 'block function', 'local function', 'method']",-1
43,What do you call a Scala method that is parametrized by type as well as by value?,"['multimode method', 'polymorphic method', 'closure', 'collection method']",-1
44,What type of exception is thrown when a precondition is violated?,"['IllegalArgumentException', 'NumberFormatException', 'NullPointerExcepetion', 'MalformedParameterException']",0
45,In scala what is precondition?,"['a constraint on where a method may be called from', 'a constraint on values passed to a methode constructor', 'a class of predifined error messages', 'a class of Boolean operators']",2
46,What would you change in this code to make it execute in parallel?,"['Change list.map to list.par.map.', 'Change toList to toListPar', 'Change val to val.par', 'Change toList to toParallelList']",0
47,What is a free variable?,"['a variable defined outside a function', 'a variable referenced in a function that is not assigned a value by that function', 'a variable that has a global scope', 'a variable defined in a class and available to all methods in that class']",0
48,What's the best way to execute code in the background in a separate thread?,"['AltThread', 'AltFuture', 'AltProcess', 'Future']",3
49,What value does this code return?,"['(1,2,4)', '1', 'Nil', '2']",3
