,Question,Answers,Right Index
0,You are working with this XML code snippet from the XML document cars.xml. You need to return the information about the cars built after the year 2000. What does your XQuery look like?,"['doc(""cars.xml"")/cars/car[year>2000].data', 'doc(""cars.xml"")/cars/car[xs:integer(year) gt 2000]', 'doc(""cars.xml"")/cars/car[year gt 2000]', 'doc(""cars.xml"")/cars/car[integer(year) > 2000]']",0
1,You are working with the following XSD fragment. What does it say about the <car> element?,"['The <car> element can be extended with only one attribute', 'The <car> element can be extended with multiple attributes', 'The <car> element cannot have any attributes', 'The <car> element has child elements which can appear in any order']",1
2,You are converting your HTML file into XHTML Strict. Which code snippet will validate without errors?,"['xml\n  <html xmlns=""http://www.w3.org/1999/xhtml"">\n      <head><title>XHTML Example</title></head>\n      <body bgcolor=""#FFFFFF"" >\n          <p>Content goes here ...</p>\n      </body>\n  </html>', 'xml\n  <html xmlns=""http://www.w3.org/1999/xhtml"">\n      <head><title>XHTML Example</title></head>\n      <body name=""bodySection"">\n          <p><b>Content goes here ...</b></p>\n      </body>\n  </html>', 'xml\n  <html xmlns=""http://www.w3.org/1999/xhtml"">\n      <head><title>XHTML Example</title></head>\n      <body color=""#333333"">\n          <p><i>Content goes here ...</i></p>\n      </body>\n  </html>', 'xml\n  <html xmlns=""http://www.w3.org/1999/xhtml"">\n      <head><title>XHTML Example</title></head>\n      <body id=""bodySelection"">\n          <p><strong>Content goes here ...</strong></p>\n      </body>\n  </html>']",3
3,"When working with Ajax applications, which is faster, XML or JSON?","['XML, because it is extensible', 'JSON, because it transfers data without waiting for a server response', 'XML, because it supports namespaces', 'JSON, because it is already parsed into a JavaScript object']",1
4,"Asynchronous Javascript and XML (Ajax) is technique for creating better, faster, and more interactive web applications. In addition to JavaScript and XML on the back end, which technologies are commonly used to craft AJAX experiences on the front end?","['PHP, .NET, and SQL', 'HTML, CSS, and DOM', 'Python, Perl, and C++', 'Java, ASP, and C#']",1
5,What is this code an example of?,"['null element', 'self-closing tag', 'improperly named element', 'incorrect XML syntax']",1
6,Which XHTML syntax rule does NOT apply to XML?,"['XHTML attribute values must be quoted', 'XHTML tags and attributes must be in lowercase', 'XHTML elements must be properly nested within each other.', 'XHTML tags must have an equivalent closing tag.']",1
7,"Which Ajax method is used to exchange data with a server, using a modern browser?","['request-XML', 'XMLHttpRequest', 'ActiveXObject', 'responseXML']",1
8,A markup language is a _ -readable language that _ text so that the computer can _ that text.,"['processor; complies; process', 'system; stores; retrieve', 'non; processes; format', 'human; annotates; manipulate']",3
9,What is this code an example of?,"['improperly named element', 'self-closing tag', 'null element', 'incorrect XML syntax']",0
