,Question,Answers,Right Index
0,How can you increase the CPU resources for your Lambda?,"['Increase the configured CPU value', 'Increase the configured timeout value', 'Increase the configured memory value', 'Increase the configured concurrency value']",2
1,How can additional code or content be provided for your Lambda?,"['blocks', 'layers', 'aliases', 'handlers']",1
2,How can Step Functions call Lambdas?,"['in sequence', 'both of these answers', 'neither of these answers', 'in parallel']",1
3,Which AWS CLI command invokes a function?,"['aws lambda invoke --function ReturnBucketName outputfile.txt', 'aws lambda execute --function-name ReturnBucketName outputfile.txt', 'aws lambda invoke --function-name ReturnBucketName outputfile.txt', 'aws lambda execute --function ReturnBucketName outputfile.txt']",2
4,What adds tracing capabilities to a Lambda?,"['AWS Trace', 'CloudStack', 'CloudTrail', 'AWS X-Ray']",3
5,You need to build a continuous integration/deployment pipeline for a set of Lambdas. What should you do?,"['Create configuration files and deploy them using AWS CodePipeline.', 'Create CloudFormation templates and deploy them using AWS CodeBuild', 'Create configuration file and deploy using AWS CodeBuild', 'Create CloudFormation templates and deploy them using AWS CodePipeline.']",3
6,What can you use to monitor function invocations?,"['API Gateway', 'S3', 'SAS', 'CLoudTrail']",3
7,It is AWS best practice to enable Lambda logging by which of these methods.,"['Use S3 metrics and CloudWatch alarms', 'Create custom metrics within your Lambda code.', 'Create custom metrics within your CloudWatch code.', 'Use Lambda metrics and CloudWatch alarms.']",3
8,What may be provided for environment variables?,"['an SSL certificate', 'a bitmask', 'an AWS KMS key', 'an HTTP protocol']",2
9,Lambdas allow for running of what other things?,"['binaries.', 'all of these answers', 'executables', 'Shell scripts']",1
10,In what style must you write Lambda code?,"['MVC', 'virtual', 'stateless', 'protocol']",2
11,How can a developer provide Lambda code?,"['by uploading a .zip file', 'all of these answers', 'by editing inline', 'from an S3 bucket']",1
12,You are performance-testing your Lambda to verify that you set the memory size adequately. Where do you verify the execution overhead?,"['CLoudWatch logs', 'DynamoDB logs', 'S3 logs', 'Lambda logs.']",3
13,What facilitates continuous delivery of Lambdas?,"['CodeStack', 'ElasticStack', 'Mobile Hub', 'CodeDeploy']",3
14,How are computing resources allocated to Lambdas?,"['proportionally', 'equally', 'periodically', 'daily']",0
15,You can restrict the scope of a user's permissions by specifying which two items in an IAM policy?,"['resources and users', 'resources and conditions', 'events and users', 'events and conditions']",1
16,What does Lambda logging include?,"['logging streams', 'rotating streams', 'logging events', 'advancing log groups']",0
17,What can AWS Amplify NOT do for a Lambda?,"['create a Lambda', 'be an event source', 'assign an IAM role', 'delete a Lambda']",1
18,How do you author a Lambda in a programming language that AWS does not support?,"['Create a Lambda function with a custom runtime and reference the function in your Lambda', 'Create a Lambda layer with a custom runtime and reference the layer in your lambda', 'You cannot use Lambda in this situation', 'Create a Lambda function with a custom runtime']",1
19,What are listed downstream resources based on?,"['the execution policy', 'the Lambda configuration', 'the Lambda nodes', 'the IAM user']",1
20,Which is an equivalent and valid tag for a pair of Lambdas?,"['department:Sales,department:Sales', 'department:Sales,department:sales', 'aws:demo;aws:demo', 'aws:demo;aws:DEMO']",1
21,Outbound connections from Lambdas must be _.,"['neither of these answers', 'UDP/IP', 'TCP/IP', 'both of these answers']",3
22,How are CloudWatch actions configured?,"['automatically', 'none of these answers', 'manually', 'ad hoc']",2
23,You are testing your stream-based application and the associated Lambda. AWS best practice advises you to test by varying what?,"['stream and record sizes', 'stream and shard sizes', 'batch and record sizes', 'batch and shard sizes']",2
24,You need to make your Lambda available to services in multiple VPCs. What do you do?,"['Place each subnet in a VPC. Associate all subnets to your Lambda.', 'Place all subnets in a VPC. Associate all subnets to your Lambda.', 'Configure your Lambda to be available to multiple VPCs.', 'Configure all application VPCs to be peered.']",3
25,How is the cost associated with Lambda function calculated?,"['number of function calls', 'amount of code run', 'compute time', 'amount of infrastructure used']",2
26,What is the fastest way to get started with Lambda?,"['Author a Lambda from scratch.', 'Use a blueprint.', 'Use a .zip deployment package.', 'Use the serverless app repository.']",1
27,Where is the disk space allocated for Lambda functions?,"['/tmp', '/default', '/temp', '/ds']",0
28,How do you stop a running Lambda that is stuck in a recursive loop?,"['Delete the function.', 'Set the function concurrent execution limit to 0 while you update the code.', 'Reset the function.', 'Set the function concurrent execution limit to 100 while you update the code.']",1
29,What is AWS best practice for Lambda configuration?,"['Overprovision memory to run your functions faster and reduce your costs. Do not overprovision your function timeout settings.', 'Overprovision memory and your function timeout settings to run your functions faster and reduce your costs.', 'Do not overprovision memory. Overprovision your function timeout settings to run your functions faster and reduce costs.', 'Do not overprovision memory. Do not overprovision your function timeout settings to run your functions faster and reduce costs.']",0
30,Basic Lambda permissions include permissions for what?,"['removing log groups', 'none of these answers', 'creating log groups', 'updating log groups']",3
31,How are environment variables stored?,"['DynamoDB tables', 'key-value pairs', 'S3 buckets', 'none of these answers']",1
32,You need to use a Lambda to provide backend logic to your website. Which service do you use to make your Lambda available to your website?,"['S3', 'API Gateway', 'X-Ray', 'DynamoDB']",1
33,You are creating a Lambda to trigger on change to files in an S3 bucket. Where should you put the bucket name?,"['in the Lambda function code', 'in a Lambda environment variable', 'in the Lambda tags', 'in another S3 bucket']",1
34,What action is needed before you can test a Lambda?,"['Deploy the Lambda', 'Export the function', 'none of these answers', 'Configure a test event']",3
35,What kind of packages can you use with Node.js for Lambdas?,"['Fleece', 'NPM', 'none of these answers', 'Pod']",1
36,Lambdas are monitored by default using which service?,"['CloudTrail', 'CloudWatch', 'CloudFormation', 'LogWatch']",1
37,What can trigger a Lambda function execution?,"['a table definition', 'queue isolation', 'STS Write', 'an SNS topic']",3
38,You need to set an S3 event trigger on your Lambda to respond when data is added to your bucket from another S3 bucket. Which event type do you configure?,"['POST', '""All object create events""', 'PUT', 'COPY']",2
39,"To make Lambdas more testable, it is AWS best practice to separate which of these?","['Lambda configuration from logging code', 'Lambda handler from logging code', 'Lambda handler from core logic', 'Lambda configuration from core logic']",2
40,What is included in an exported Lambda deployment package?,"['YAML definition', 'CloudFormation stack configuration', 'SAML deployment stack', 'Zip file of all related files']",3
41,When can you change the execution role of a Lambda?,"['only at creation', 'only before deployment', 'never', 'anytime via configuration']",3
42,What is the relationship between SAM template and CloudFormation template files?,"['SAM templates are a superset of CloudFormation templates. SAM templates include additional resource types.', 'SAM templates have some overlap with CloudFormation templates. Both SAM and CloudFormation templates include resource types that are not in the other type of template.', 'CloudFormation templates are a superset of SAM templates. CloudFormation templates include additional resource types.', 'SAM templates are a different name for CloudFormation templates. Both template types include the same resource types.']",0
43,What service deploys Lambdas regionally?,"['EdgeCloud', 'CloudEdge', 'CloudFront', 'CloudStack']",2
44,What programming language does AWS Lambda support?,"['custom', 'all of these answers', 'Java', 'Ruby']",1
45,You need to setup a mechanism to put controls in place to notify you when you have a spike in Lambda concurrency. What should you do?,"['Deploy a CloudTrail alarm that notifies you when function metrics exceed your threshold. Create an AWS budget to monitor costs.', 'Deploy a CloudWatch alarm that notifies you when function metrics exceed your threshold. Create an AWS budget to monitor costs.', 'Deploy a CloudWatch alarm that notifies you when function metrics exceed your threshold. Create an AWS CostMonitor to monitor costs.', 'Deploy a CloudTrail alarm that notifies you when function metrics exceed your threshold. Create an AWS CostMonitor to monitor costs.']",1
