,Question,Answers,Right Index
0,Which form view mode allows you to preview live data while you work on the design of the form?,"['Preview view', 'Layout view', 'Design view', 'Form view']",1
1,How can you add multiple view button controls to a form at once?,"['Double-click the button control to lock it on, then left-click in the form to add each button', 'Right-click the button control and select Drop Multiple Controls. Then left-click to add each button to a form', 'Select the Multiple Object check box in the Design tab before selecting the button control', ""Left-click the button control to select it, then add multiples to the form by right-clicking in the position you'd like to add them""]",-1
2,What is the Access string operator that joins or concatenates text strings together?,"['&', '!', '#', '-']",0
3,The relationship field in this table has been created with what feature?,"['lookup', 'reference integrity', 'pick list', 'validation rule']",0
4,"On a report, you want to display a header for each change in month name. How should you set up the Group and Sort options so that they are in the proper chronological order?","['Sort on month number, then sort on month name', 'Sort on month number, then group on month name', 'Group on month number, then sort by month name', 'Group on month number, then sort on month number']",3
5,What kind of query will display data with both column headers and row headers?,"['crosstab', 'select', 'simple', 'spreadsheet']",0
6,"What currency format displays a thousand separator, but not a currency symbol, such as $ or â‚¬?","['Scientific', 'Standard', 'General Number', 'Fixed']",1
7,"In Access Option > Current Database, what does turning off the Allow Full Menus option do?","['removes the ribbon interface', 'removes all ribbon tabs except Home and Print Preview', 'disable the right-click menu when working with objects', 'removes the Design view contextual tabs, which forces most design changes to be made in Layout view']",3
8,"You want to create a form to view customer's details, as well as some information about all order that the customer has placed with your company. What is the best way to display this information on a single screen?","['Use a form to display the customer details with a subform linked to their order information', 'Create a split form that displays the customer information at the top and the order history in the table below', 'Create a navigation form that includes a form for the customer details and a separate form for the order history', 'Create a continous form that uses a query to gather all of the customer details and order history in a single record source']",-1
9,"You want a form to appear automatically, whenever the database starts. How do you do this?","['In the Access Options dialog box, click Current Database, then select the form you want to open in the Display Form property', 'Open the form you want to display automatically in Design view. Then in the property sheet, set Open on Launch to true', 'Right-click the form you want to open automatically and select Startup Form', 'On the Database Tools tab, click Database Options, then set the form you want to open as the Initial View object']",1
10,"In Design view, which area of a form is the primary location for text boxes, buttons, and other control objects?","['Page Layout', 'View section', 'Form body', 'Detail section']",3
11,What tool builds a report containing detailed information about the object in the database?,"['Object dependencies', 'Table analyzer', 'Access database manager', 'Database documenter']",3
12,You want to validate a proposed modification to a record's value before the table is saved to the database. What data macro can you add to the table to do this?,"['After Insert', 'Before Change', 'After Update', 'Before Delete']",1
13,"When you add a group to a report, what automatically gets added to the structure?","['a group header', 'nothing', 'a group header and footer', 'a group footer']",0
14,A table contains a field with the lookup properties set as shown. What will be the value of the field when the end user clicks Normal from the combo box when entering a record into the table?,"['1', '3', '2', 'Normal']",2
15,What program flow function evaluates a condition and either returns a truepart or a falsepart?,"['Switch()', 'IsError()', 'IIf()', 'Choose()']",2
16,"The display for numerical data defaults to a _alignment, and text data defaults to _aligntment","['left; right', 'right; left', 'left; left', '] right; right', 'xt:', 'erical:']",1
17,Which data type is a modern replacement for the OLE Object data type?,"['Attachment', 'Replication ID', 'BLOB', 'Hyperlink']",0
18,How can you ensure that each value saved in a particular field is unique from all other values in the field?,"['Set the Indexed property to No', 'Set the Required property to Yes (Unique Values)', 'Set the Validation Rule property to No Duplicates', 'Set the Indexed property to Yes (No Duplicates)']",3
19,"Which Access database tool will help you split a single, large, unnormalized data table into multiple related tables that follow the best practices of good database design?","['Database Documenter', 'Compact and Repair Database', 'Database Splitter Wizard', 'Table Analyzer Wizard']",3
20,"When backing up an Access database, what is added to the file name automatically?","['A serialized backup number, such as ""_Backup_2""', 'The current date, such as ""_2019-08-21""', 'The characters ""_bu""', 'The word ""_Archive""']",1
21,"Which table field property, if supplied, will display instead of the field name as a column header when viewing the datasheet of as a label when the field is added toa form or report?","['Popup Text', 'Description', 'Caption', 'Tool Tip']",2
22,Which form control property creates a small pop-up flag that contains text when a user hovers the mouse cursor over the object?,"['ControlTip Text', 'Status Text', 'Tool Text', 'Help Text']",0
23,"The expression values <=, <>, and > are found in what expression category?","['comparison operators', 'logical operators', 'string operators', 'arithmetic operators']",0
24,Which section of a report appears at the top of every page in the printed report?,"['page header', 'group header', 'detail header', 'report header']",0
25,When would you use a left join query?,"['When you want to retrieve every record from the left table, plus any matching information from the right table where it exists', 'When you want to retrieve all of the records from the right table that have matching records in the left table', 'When you want to retrieve just the records from the left table that have matching records in the right table', 'When you want to retrieve just the records from the left table that do not have any matching records in the right table']",0
26,How can you run a submacro saved in a macro?,"['Use an If container in the macro.', 'Call the submacro with the [MacroName]![SubMacroName] syntax.', 'Use a RunMacro or OnError macro action.', 'Expand the macro in the Navigation Pane and double-click the submacro name.']",2
27,Which combo box property defines what values appear when the user clicks the drop-down arrow?,"['Control Source', 'Row Source', 'Value List', 'Data Source']",1
28,What does the expression Now() evaluate to?,"['the current system date', 'the current system date, time, and time zone', 'the current system date and time', 'the current system time']",2
29,"Certain words have special meaning to Access, and you should avoid using them as table or field names. What are these words called?","['discouraged terms', 'reserved words', 'retired objects', 'system names']",1
