,Question,Answers,Right Index
0,"To cache your entire site for an application in Django, you add all except which of these settings?","['django.middleware.common.CommonMiddleware', 'django.middleware.cache.UpdateCacheMiddleware', 'django.middleware.cache.FetchFromCacheMiddleware', 'django.middleware.cache.AcceleratedCacheMiddleware']",3
1,In which programming language is Django written?,"['C++', 'Java', 'Python', 'Ruby']",2
2,"To automatically provide a value for a field, or to do validation that requires access to more than a single field, you should override the ___ method in the ___ class.","['validate(); Model', 'group(); Model', 'validate(); Form', 'clean(); Field']",3
3,"A client wants their site to be able to load ""Rick & Morty"" episodes by number or by titleâ€”e.g., shows/3/3 or shows/picklerick. Which URL pattern do you recommend?",[''],-1
4,How do you determine at startup time if a piece of middleware should be used?,[''],0
5,How do you turn off Djangoâ€™s automatic HTML escaping for part of a web page?,[''],-1
6,"Which step would NOT help you troubleshoot the error ""django-admin: command not found""?",[''],-1
7,"Every time a user is saved, their quiz_score needs to be recalculated. Where might be an ideal place to add this logic?","['Raise MiddlewareNotUsed in the init function of your middleware.', 'Implement the not_used method in your middleware class.', 'List the middleware beneath an entry of django.middleware.IgnoredMiddleware.', 'Write code to remove the middleware from the settings in [app]/init.py.']",0
8,"What is the correct way to begin a class called ""Rainbow"" in Python?","['Place that section between paragraph tags containing the autoescape=off switch.', 'Wrap that section between { percentage mark autoescape off percentage mark} and {percentage mark endautoescape percentage mark} tags.', 'Wrap that section between {percentage mark autoescapeoff percentage mark} and {percentage mark endautoescapeoff percentage mark} tags.', ""You don't need to do anythingâ€”autoescaping is off by default.""]",3
9,You have inherited a Django project and need to get it running locally. It comes with a requirements.txt file containing all its dependencies. Which command should you use?,"['Check that the bin folder inside your Django directory is on your system path.', 'Make sure you have activated the virtual environment you have set up containing Django.', 'Check that you have installed Django.', 'Make sure that you have created a Django project.']",3
10,Which best practice is NOT relevant to migrations?,"['template', 'model', 'database', 'view']",1
11,"What will this URL pattern match? url(r'^\$', views.hello)","['Rainbow {}', 'export Rainbow:', 'class Rainbow:', 'def Rainbow:']",2
12,What is the typical order of an HTTP request/response cycle in Django?,"['django-admin startproject requirements.txt', 'python install -r requirements.txt', 'pip install -r requirements.txt', 'pip install Django']",2
13,Django's class-based generic views provide which classes that implement common web development tasks?,"['To make sure that your migrations are up to date, you should run updatemigrations before running your tests.', 'You should back up your production database before running a migration.', 'Your migration code should be under source control.', 'If a project has a lot of data, you should test against a staging copy before running the migration on production.']",0
14,Which skills do you need to maintain a set of Django templates?,"['a string beginning with the letter Ra string beginning with the letter R', 'an empty string at the server root', 'a string containing ^ and $a string containing ^ and $', 'an empty string anywhere in the URLan empty string anywhere in the URL']",1
15,How would you define the relationship between a star and a constellation in a Django model?,"['URL > view > template', 'form > model > view', 'template > view > model', 'URL > template > view > model']",0
16,Which is NOT a valid step in configuring your Django 2.x instance to serve up static files such as images or CSS?,"['concrete', 'thread-safe', 'abstract', 'dynamic']",2
17,What is the correct way to make a variable available to all of your templates?,"['template syntax', 'HTML and template syntax', 'Python, HTML, and template syntax', 'Python and template syntax']",1
