,Question,Answers,Right Index
0,What do you need for two functions to be the same type?,"['They should share the same signatures, including parameter types and return types.', 'They should share the same parameter types but can return different types.', 'All functions should be the same type.', 'The functions should not be a first class type.']",0
1,What does the len() function return if passed a UTF-8 encoded string?,"['the number of characters', 'the number of bytes', 'It does not accept string types.', 'the number of code points']",1
2,Which is not a valid loop construct in Go?,"['do { ... } while i < 5', 'for _,c := range ""hello"" { ... }', 'for i := 1; i < 5; i++ { ... }', 'for i < 5 { ... }']",0
3,How will you add the number 3 to the right side?,"['values.append(3)', 'values.insert(3, 3)', 'append(values, 3)', 'values = append(values, 3)']",3
4,What is the value of Read?,"['0', '1', '2', 'a random value']",1
5,Which is the only valid import statement in Go?,"['import ""github/gin-gonic/gin""', 'import ""https://github.com/gin-gonic/gin""', 'import ""../template""', 'import ""github.com/gin-gonic/gin""']",3
6,What would happen if you attempted to compile and run this Go program?,"['It would not compile because GlobalFlag was never initialized.', 'It would compile and print [].', 'It would compile and print nothing because ""["" +nil+""]"" is also nil.', 'It would compile but then panic because GlobalFlag was never initialized.']",1
7,From where is the variable myVar accessible if it is declared outside of any functions in a file in package myPackage located inside module myModule?,"['It can be accessed anywhere inside myPackage, not the rest of myModule.', 'It can be accessed by any application that imports myModule.', 'It can be accessed from anywhere in myModule.', 'It can be accessed by other packages in myModule as long as they import myPackage']",0
8,How do you tell go test to print out the tests it is running?,"['go test', 'go test -x', 'go test --verbose', 'go test -v']",3
9,"This code printed {0, 0}. How can you fix it?","['use json.Decoder', 'Pass a pointer to data', 'Make X and Y exported (uppercase)', 'Use field tags']",2
10,What does a sync.Mutex block while it is locked?,"['all goroutines', 'any other call to lock that Mutex', 'any reads or writes of the variable it is locking', 'any writes to the variable it is locking']",1
11,What is an idiomatic way to pause execution of the current scope until an arbitrary number of goroutines have returned?,"['Pass an int and Mutex to each and count when they return.', 'Loop over a select statement.', 'Sleep for a safe amount of time.', 'sync.WaitGroup']",3
12,What is a side effect of using time.After in a select statement?,"['It blocks the other channels.', 'It is meant to be used in select statements without side effects.', 'It blocks the select statement until the time has passed.', 'The goroutine does not end until the time passes.']",1
13,What is the select statement used for?,"['executing a function concurrently', 'executing a different case based on the type of a variable', 'executing a different case based on the value of a variable', 'executing a different case based on which channel returns first']",3
14,"According to the Go documentation standard, how should you document this function?",['A'],-1
15,What restriction is there on the type of var to compile this i := myVal.(int)?,['B'],-1
16,What is a channel?,['C'],0
17,How can you make a file build only on Windows?,['D'],-1
18,What is the correct way to pass this as a body of an HTTP POST request?,"['myVal must be an integer type, such as int, int64, int32, etc.', 'myVal must be able to be asserted as an int.', 'myVal must be an interface.', 'myVal must be a numeric type, such as float64 or int64.']",2
19,What should the idiomatic name be for an interface with a single method and the signature Save() error?,"['a global variable', 'a medium for sending values between goroutines', 'a dynamic array of values', 'a lightweight thread for concurrent programming']",1
20,A switch statement _ its own lexical block. Each case statement _ an additional lexical block.,"['Check runtime.GOOS.', 'Add a // +build windows comment anywhere in the file.', 'Add a _ prefix to the file name.', 'Add a // +build windows comment at the top of the file.']",3
