,Question,Answers,Right Index
0,You are configuring a Wi-Fi base station using DHCP. Which items should you set or change?,"['] A', 'set administrator password.', 'network name.', 'network security.', 't network password.', '] B', 'set administrator password.', 'network name.', 't network password.', '] C', 't network name.', 'network password.', 'sign DNS servers.', '] D', 'ange administrator account name.', 'network password.', 'network name.', 'ign DNS servers.']",-1
1,Can you connect a DisplayPort monitor to a USB-C port on your computer?,"['Yes. The DisplayPort cable plugs directly into the USB connector.', 'Yes. An adapter or dongle may be required.', 'No. While you can rig a connection, video quality will be poor.', 'No. The two standards are incompatible.']",1
2,What is the I/O panel?,"['the location where expansion cards can connect to peripherals', 'a cluster of ports and connectors found on the back of the computer case', 'the switches that turn on, sleep, and turn off the computer', 'the portion of the motherboard where non-power cables connect']",1
3,The computer consistently boots into Safe Mode. How would you address this issue?,"['Edit the Registry key that controls the boot sequence.', 'Hold the Shift key as Windows boots.', 'Check the MSCONFIG utility to ensure that Normal boot is selected.', 'Fix the issue in Safe Mode that is causing the system to restart in this mode.']",3
4,Which choice is not a typical adjustment found on a monitor?,"['resolution', 'color temperature', 'contrast', 'brightness']",0
5,"Assuming that the gateway, modem, and switch are separate units, in what order should a small office or home office LAN be restarted?","['] A', 'dem', 'eway', 'itch', '] B', 'dem', 'tch', 'teway', '] C', 'teway', 'itch', '] The order is not important.']",-1
6,"A client needs to secure their cafe's wireless network, which is used only by employees. What is the best approach for a finite list of devices?","['Limit access to specific MAC addresses.', 'Do not broadcast the SSID.', 'Apply a metered connection.', 'Apply a password.']",0
7,Which hardware port would not be found on a typical gateway?,"['WAN', 'USB', 'LAN', 'uplink']",3
8,The recent Windows update introduced some quirks in the system. How can you enter the Windows Recovery Environment to recover from the update?,"['Hold the Shift key when selecting the Restart command.', 'Restart in Safe Mode where the Recovery item is located on the Start menu.', 'Press the any key at the boot screen.', 'Go to the Task Manager Startup tab.']",0
9,Which components are typically found on the motherboard?,"[']\n  basic I/O\n  graphics\n  NIC\n  battery\n  expansion slots', '] basic I/O\n      cooling\n      NIC\n      graphics\n      expansion slots', 'basic I/O\n      graphics\n      NIC\n      mass storage\n      expansion slots', 'basic I/O\n  graphics\n  NIC\n  power supply\n  expansion slots']",-1
10,What does the acronym RAID refer to?,"['Repeating Architecture for Internal Drives', 'Recoverable Advanced Integration and Duplication', 'Redundant Array of Independent Disks', 'Replicated Array of Internal Devices']",2
11,To which internal component does the illustrated (P1) connector attach?,"['motherboard', 'I/O panel', 'power supply', 'primary mass storage']",0
12,Your computer boots at very low resolution that cannot be increased through display settings. What is the most likely solution?,"['The connection between the display and the computer is loose.', 'You need to reinstall the display drivers.', 'You need to replace your monitor.', 'Some of your RAM is failing.']",1
13,To which choice can the wget program be considered similar?,"['tracert', 'netstat', 'ping', 'cURL']",3
14,Does an incognito window prevent websites from tracking your activity on the web?,"['No. Incognito mode only prevents the site from appearing in your browser history.', 'Yes. Incognito mode encrypts data packets, making it difficult for websites to track your activity.', 'No. Some websites track by ID, and if you sign into a site even in incognito, your activity is known.', 'Yes. Incognito mode blocks all cookies and tracking IDs and suppresses browser history.']",2
15,What must you confirm before performing a processor upgrade?,"['The new processor is compatible with the current motherboard.', 'The new processor is the same type as the old.', 'The new processor is compatible with the operating system.', ""The new processor fits into the old processor's slot.""]",0
16,Which type of storage has the fastest data access speeds?,"['Secure Sockets Layer drive', 'solid-state drive', 'serial attached storage device', 'SCSI drive']",1
17,"A Bluetooth peripheral is prompting for a passcode to complete the pairing/connection process. What is the peripheral, most likely?","['keyboard', 'all of these answers', 'mouse', 'headset']",1
18,Walt's computer is several years old and he wants to ensure that the system works until he gets a replacement. What should he do first?,"['Run a file check daily.', 'Obtain an extended warranty.', 'Back up his data.', 'Ensure that the system is protected against malware.']",2
19,What is one difference between a drive and media?,"['The drive is where the data is stored and the media is the data itself.', 'A drive is hardware that reads media.', 'These are two terms for the same thing: storage.', 'The terms apply only to removable storage, where the drive is the slot and the media is the thumb drive or media card inserted into the slot.']",1
