,Question,Answers,Right Index
0,What is this code an example of?,"['a syntax issue', 'typecasting', 'assignment', 'initialization']",0
1,What is the error in this code?,"['The guard is missing the else.', 'Nothing is wrong.', 'The guard is missing a then.', 'The comparison is wrong.']",0
2,What is the raw/underlying type of this enum?,"['There is none.', 'String', 'Any', 'Int']",0
3,Why is dispatchGroup used in certain situations?,"['It allows multiple synchronous or asynchronous operations to run on different queues.', 'It allows track and control execution of multiple operations together.', 'It allows operations to wait for each other as desired.', 'all of these answers.']",3
4,What is this code an example of?,"['string interpolation', 'string compilation', 'method chaining', 'string concatenation']",0
5,What are the contents of vals after this code is executed?,"['[10, 2]', '[2, 10]', 'nil', 'This code contains an error']",0
6,What does this code print?,"['Dictionary', 'Dictionary', 'ERROR', 'Thing']",0
7,What is the value of y?,"['This code contains an error', '1', '2', 'nil']",0
8,What is the value of test in this code?,"['TRUE', 'YES', '1', 'This code contains an error']",0
9,What is the value of y?,"['5', '0', 'nil', 'This code contains an error']",0
10,What is the type of this function?,"['Int', '(Int, Int) -> Int', 'Int', ""Functions don't have types.""]",1
11,What is the correct way to call this function?,"['myFunc(5, b: 6)', 'myFunc(5, 6)', 'myFunc(a: 5, b: 6)', 'myFunc(a, b)']",0
12,The Codable protocol is _?,"['a combination of Encodable and Decodable', ""not a true protocol <<<<---Possibly correct as it's a typealias of Encodable and Decodable"", 'required of all classes', 'automatically included in all classes']",0
13,What is the type of value1 in this code?,"['String', 'Int', 'null', 'test.count']",0
14,"When a function takes a closure as a parameter, when do you want to mark is as escaping?","[""when it's executed after the function returns"", ""when it's scope is undefined"", ""when it's lazy loaded"", 'all of these answers']",0
15,What's wrong with this code?,"['Person has no initializers.', 'Person has no base class.', 'var name is not formatted corrrectly.', 'address is a keyword.']",0
16,What is the value of names after this code is executed?,"['[""BEAR"", ""JOE"", ""CLARK""]', '[""B"", ""J"", ""C""]', '[""Bear"", ""Joe"", ""Clark""]', 'This code contains an error.']",2
17,What describes this line of code?,"['a constant named val of type Int', 'a variable named val of type item', 'a constant named val of type Number', 'a variable named val of type Int']",0
18,What is the error in this code?,"[""Extensions can't add properties. // although extensions technically can't contain stored properties"", 'Nothing is wrong with it.', 'didSet takes a parameter.', 'c is not a character.']",0
19,didSet and willSet are examples of _?,"['property observers', 'key properties', 'all of these answers', 'newOld value calls']",0
20,What is wrong with this code?,"['Use of self inside the closure causes retain cycle.', 'You cannot assign a value to closure in this manner.', 'You need to define the type of closure explicitly.', 'There is nothing wrong with this code.']",0
21,How many values does vals have after this code is executed?,"['three', 'four', 'eight', 'This code contains an error.']",3
22,How can you avoid a strong reference cycle in a closure?,"['Use a capture list to set class instances of weak or unowned.', ""You can't, there will always be a danger of strong reference cycles inside a closure."", 'Initialize the closure as read-only.', 'Declare the closure variable as lazy.']",0
23,What is wrong with this code?,"['This String initializer does not return an optional.', 'String does not have an initializer that can take a String.', '= is not a comparison.', 'Nothing is wrong with this code.']",0
24,Which code snippet correctly creates a typealias closure?,"['typealias CustomClosure: () -> ()', 'typealias CustomClosure { () -> () }', 'typealias CustomClosure -> () -> ()', 'typealias CustomClosure -> () {}']",0
25,How do you reference class members from within a class?,"['self', 'instance', 'class', 'this']",0
26,All value types in Swift are _ under the hood?,"['structs', 'classes', 'optionals', 'generics']",0
27,What is the correct way to add a value to this array?,"['all of these answers', 'strings.append(4)', 'strings.insert(5, at: 1)', 'strings += [5]']",0
28,How many times will this loop be executed?,"['0', '101', '99', '100']",1
29,What can AnyObject represent?,"['an instance of any class', 'an instance of function type', 'all of these answers', 'an instance of an optional type']",2
30,What is the value of t after this code is executed?,"['This code is invalid.', 'This code does not compile.', '0', '1', 'Larry']",0
31,What is the value of test after this code executes?,"['ABC', '0', '5', 'name']",0
32,What is the base class in this code?,"['MMM', 'LSN', 'There is no base class.', 'This code is invalid.']",0
33,What does this code print to the console?,"['About to set userLocation to Workâ€¦ userLocation updated with new value!', 'About to set userLocation to Workâ€¦ userLocation already set to that valueâ€¦', 'About to set userLocation to Homeâ€¦ userLocation updated to new value!', 'ERROR']",0
34,What must a convenience initializer call?,"['a base class convenience initializer', 'either a designated or another convenience initializer', 'a designated initializer', 'none of these answers']",2
35,Which object allows you access to specify that a block of code runs in a background thread?,"['DispatchQueue.visible', 'DispatchQueue.global', 'errorExample need to be labeled as throws.', 'DispatchQueue.background']",1
36,What is the inferred type of x?,"['String[]', 'Array<String>', 'Set<String>', 'Array<Character>']",1
37,What is the value of oThings after this code is executed?,"['11212three', '115', '12three', 'Nothing, this code is invalid.']",2
38,How would you call a function that throws errors and also returns a value?,"['!try', 'try?', 'try!', '?try']",1
39,What is wrong with this code?,"['Protocol functions cannot have return types.', 'Protocol functions cannot have implementations.', 'Nothing is wrong with it.', 'add is a reserved keyword.']",1
40,"In this code, what are wheels and doors examples of?","['class members', 'This code is invalid.', 'class fields', 'class properties']",3
41,How do you designated a failable initializer?,"['You cannot', 'deinit', 'init?', 'init']",2
42,What is printed when this code is executed?,"['five', '5a', '.asString()', '5']",2
43,"In the function below, what are this and toThat examples of?","['none of these answers', 'local terms', 'argument labels', 'parameters names']",2
44,What is wrong with this code?,"['The interaction source is invalid', 'The interaction variable is invalid', 'There is nothing wrong with this code', 'The comma in the print is misplaced']",2
45,Which of these choices is associated with unit testing?,"['XCTest', 'all of these answers', '@testable', 'XCAssert']",1
46,"In the code below, what is width an example of?","['This code contains error', 'a closure', 'a computed property', 'lazy loading']",2
47,What data type is this an example of?,"['a dictionary', 'a tuple', 'an optional', 'This code contains error']",1
48,What is wrong with this code?,"['You cannot assign a Double to a variable of type Int', 'x is undefined', 'x is a constant', 'x has no type']",0
49,What will this code print to the console?,"['Any', 'test', '1,2,3', 'nil']",3
50,What is wrong with this code?,"['There is nothing wrong with this code', 'val is a constant and cannot be changed', '5.0 and 10 are different types', 'There is no semicolon']",0
51,How many parameters does the initializer for Test have?,"['zero', 'This code contains an error', 'two', 'Structs do not have initializers']",2
52,What prints to the console when executing this code?,"['nil', 'Nothing - this code contains an error', 'Optional(""test"")', 'test']",2
53,How can you sort this array?,"['vals.sort { $0 < $1 }', 'vals.sort { (s1, s2) in s1 < s2 }', 'vals.sort(by: <)', 'all of these answers']",3
54,DispatchQueue.main.async takes a block that will be,"['not executed', 'executed in the main queue', 'none of these answers', 'executed on the background thread']",1
55,When is deinit called?,"['When a class instance needs memory', 'All of these answers', 'When the executable code is finished', 'When a class instance is being removed from memory']",1
56,How do you declare an optional String?,"['String?', 'Optional[String]', '[String]?', '?String']",0
57,How many times this code will be executed? â€”ORâ€” How many times will this loop be performed?,"['one', 'two', 'three', 'This code does not compile']",1
58,What does this code print?,"['1Bear', 'BearBear', 'TonyBear', 'Nothing, this code is invalid']",2
59,What is true of this code?,"['name can hold only a string value.', 'name can hold either a string or nil value.', 'Optional values cannot be let constants.', 'Only non-empty string variables can be stored in name.']",1
60,What is the value of val after this code is executed?,"['This code is invalid.', '6', '30', '0']",0
61,What does this code print?,"['3', '0', 'other', 'nil']",0
62,What is printed to the console when this code is executed?,"['nil', 'Nothing, since the code contains an error', 't', 'zero']",2
63,What prints when this code is executed?,"['[]', '[""3"", ""2"", ""1""]', '[321]', '[""1"", ""2"", ""3""]']",1
64,What enumeration feature allows them to store case-specific data?,"['associated values', 'integral values', 'raw values', 'custom values']",0
65,"In the code below, AOM must be a(n)?","['class', 'protocol', 'enumeration', 'struct']",1
66,What is the value of numbers in the code below?,"['[1,3,5]', '[]', '[2,4,6]', 'nil']",2
67,What is the type of vals in this code?,"['Array(char)', '[Any]', 'Array', '[Generic]']",1
68,How can you extract val to x in tuple vt,"['let x = vt.1', 'all of these answers', 'let x = vt.val', 'let (_, x) = vt']",1
