,Question,Answers,Right Index
0,"When a javaScript function is invoked (called) in Node, where is a new frame placed?","['the call stack', 'the event loop', 'the poll phase', 'the events queue']",0
1,Which of the following is a core module in Node?,"['webpack', 'crypto', 'request', 'chalk']",1
2,Which of the following Buffer class methods returns an uninitialized buffer?,"['allocUnsafe', 'concat', 'from', 'alloc']",0
3,Which of the following modules is NOT a built-in module in Node?,"['ftp', 'events', 'dgram', 'http2']",0
4,Which fs module method can be used to read the content of a file without buffering it in memory?,"['read', 'readFile', 'createReadStream', 'readFileSync']",2
5,Which of the following DNS module methods uses the underlying OS facilities and does not necessarily perform any network communication?,"['lookup', 'resolve', 'resolve4', 'reverse']",0
6,How do you check that a value is a date object in Node?,"['util.types.isDate(value)', 'assert.isDate(value)', 'console.isDate(value)', 'util.date(value)']",0
7,Can you create an https web server with Node.js?,"['no, there are no modules supporting it yet', 'yes, with the https or http2 modules', 'yes, through the path module', 'yes, with the http module']",1
8,What is the Api that is designed to insulate Addons from changes in the underlying JavaScript engine?,"['A-API', 'Z-API', 'N-API', 'X-API']",2
9,Which CLI option can you use to debug a node script in Chrome DevTools?,"['--dev-tools', '--inspect', '--chrome', '--debug']",1
10,How can you count the number of logical CPUs on the machine that is running Node?,"['node -p ""process.cpus""', 'node -p ""util.cpus().size""', 'node -p ""process.os.cpus""', 'node -p ""os.cpus().length""']",3
11,Which of the following is a method on the console object?,"['exit', 'test', 'time', 'print']",2
12,Which object is used to manage the cache of required modules?,"['global.cache', 'module.cache', 'process.cache', 'require.cache']",3
13,What is the command to silence all process warnings?,"['node index.js --trace-warnings', 'node --no-warnings', 'node -trace-warnings', 'node index.js --no-warnings']",1
14,How can you use the promise API with a callback-based function such as child_process.exec?,"['new Promise(child_process.exec())', 'util.promisify(child_process.exec())', 'util.promisify(child_process.exec)', 'new Promise(child_process.exec)']",2
15,Which of the following is NOT a Node repl command?,"['.break', '.history', '.editor', '.save']",1
16,Which statement is true when you run the code shown below?,"['The forked process shares the event loop with the parent process', 'A new VM instance is created and the two VM instances will be shared between the forked process and the parent process.', 'The forked process will have its own VM instance.', 'The forked process shares the same VM thread with the parent process.']",2
17,"If EventEmitter is in scope, which of the following lines of code will have an event emitter emitting a change event?","[""EventEmitter.emit('change');"", ""EventEmitter.new().emit('change');"", ""(new EventEmitter()).emit('change');"", ""new EventEmitter('change');""]",0
18,Which of the following objects is a stream,"['process.uptime', 'process.stdout', 'process', 'Buffer']",1
19,Which module variable holds the resolved absolute path of the current module file?,"['__pathname', '__location', '__flder', '__filename']",3
20,"If the child_process module methods are in scope, what is a current way to execute the command ps -ef using a child process?","['spawn(""ps -ef"")', 'exec(""ps -ef"")', 'exec(""ps"", ""-ef"")', 'fork(""ps -ef"")']",1
