,Question,Answers,Right Index
0,In which of these situations are interfaces better than abstract classes?,"[""When you need to define an object type's characteristics, use an interface. When you need to define an object type's capabilities, use an abstract class."", 'Interfaces are a legacy of older versions of C#, and are interchangeable with the newer abstract class feature.', 'When you need a list of capabilities and data that are classes-agnostic, use an interface. When you need a certain object type to share characteristics, use an abstract class.', 'You should use both an interface and an abstract class when defining any complex object.']",2
1,Which statement is true of delegates?,"['Delegates are not supported in the current version of C#', 'They cannot be used as callbacks.', 'Only variables can be passed to delegates as parameters.', 'They can be chained together.']",3
2,Which choice best defines C#'s asynchronous programming model?,"['reactive', 'inherited callback', 'task-based', 'callback-based']",2
3,How would you determine if a class has a particular attribute?,['.'],-1
4,What is the difference between the ref and out keywords?,['.'],-1
5,"How could you retrieve information about a class, as well as create an instance at runtime?",['.'],-1
6,What is this code an example of?,['.'],0
7,What is the difference between an anonymous type and a regular data type?,"['Variables passed to out specify that the parameter is an output parameter, while ref specifies that a variable may be passed to a function without being initialized.', 'Variables passed to ref can be passed to a function without being initialized, while out specifies that the value is a reference value that can be changed inside the calling method.', 'Variables passed to out can be passed to a function without being initialized, while ref specifies that the value is a reference value that can be changed inside the calling method.', 'Variables passed to ref specify that the parameter is an output parameter, while out specifies that a variable may be passed to a function without being initialized.']",2
8,When would you use a Dictionary rather that an Array type in your application?,"['reflection', 'serialization', 'abstraction', 'dependency injection']",0
9,What is the difference between a.Equals(b) and a == b?,"['a private class that uses multithreading', 'multithread coding', 'thread mismanagement', 'a potential deadlock']",3
10,Which choice best describes a deadlock situation?,"[""Anonymous types don't have type names"", 'Anonymous types can only be static', 'Anonymous types can be used only in struts', ""Anonymous types don't work with LINQ.""]",0
11,How does the async keyword work?,"['when you need a jagged collection structure', 'when you need to store values of the same type', 'when you need to store key-value pairs rather than single values', 'when you need an ordered, searchable list']",2
12,What is an object in C#?,"['The .Equals method compares reference identities while the == compares contents.', 'The .Equals method compares primitive values while == compares all values.', 'The .Equals method compares contents while == compares references reference identity.', 'The .Equals method compares reference type while == compares primitive value types.']",2
13,Which code snippet declares an anonymous type named userData?,"['when you try to instantiate two objects at the same time in the same class or struct', 'when you are trying to execute an action after a user event is registered', 'when simultaneous instructions are waiting on each other to finish before executing', 'when you try to execute a series of events simultaneously on multiple threads']",2
14,What will be returned when this method is executed?,"['It allows access to asynchronous methods in the C# API', 'It allows thread pooling and synchronous processes in static classes.', 'It allows the await keyword to be used in a method', 'It allows access to synchronous methods in the C# API']",2
15,In what order would the employee names in this example be printed to the console?,"['a class or struct, including its variables and functions', 'a primitive data type that can be created only at compile time', 'a value type that can be used only with an abstract class', 'an instance of a class or struct that includes fields, properties, and/or methods']",3
16,Lambda expressions are often used in tandem with which of the following?,"['var<<!---->T> userData = new <<!---->T> { name = ""John"", age = 32 };', 'var userData = new { name = ""John"", age = 32 };', 'AType userData = new AType { name = ""John"", age = 32 };', 'Anonymous<T> userData = new Anonymous<T> { name = ""John"", age = 32 };']",1
17,What is the correct formatting for single line and multiline comments?,"['nothing', 'a Boolean', 'a string variable', 'an integer']",0
18,How do you make a method in an abstract class overridable?,"['ascending', 'unordered', 'descending', 'first in, first out']",0
19,How would you write code for an integer property called Age with a getter and setter?,"['Namespaces', 'LINQ', 'Type Aliasing', 'Assemblies']",1
20,What is an abstract class?,"['// - Single Line\n      / - Multiline', '// Multiline\n      / Single Line /', '//* Multiline\n      / Single Line', '// Single Line\n      / Multiline /']",3
21,When using a thread pool what happens to a given thread after it finishes its task?,"['Make it public', 'Make it static', 'Make it private', 'Make it virtual']",3
22,Which choice represents a class that inherits behavior from a base class?,"['public int Age { get - set }', 'public int Age: get set;', 'public int Age (get, set );', 'public int Age { get; set; }']",3
23,What does operator overloading allow you to do?,"['a class that is denoted by the class keyword (can be seen and used by any other class in the system--thus it is by default public)', 'something denoted by the abstract keyword and used system wide; if you want any program to create an object of a class you use the abstract class', 'a class that is denoted by the virtual keyword', 'a class that can be used only as base class']",3
24,What it the main purpose of LINQ?,"['The thread is destroyed and memory is freed up.', 'The thread runs in loop until the next assignment.', 'The thread goes inactive in the background and waits for garbage collection.', 'The thread returns to the pool for reuse.']",3
25,What is the correct syntax for a new generic list of strings named contacts?,"['a second base class', 'a revised class', 'a derived class', 'a parent class']",2
26,What is the difference between throw exceptions and throw clauses?,"['hide built-in operatores when necessary', 'add methods to be interpreted by the compiler at runtime', 'define how enums and other primitive value types work within the rest of the application', 'define custom functionality for common operators like addition and equality']",3
27,"When an asynchronous method is executed, the code runs but nothing happens other than a compiler warning. What is most likely causing the method to not return anything?","['to delete duplicate data', 'to bind namespaces and assemblies', 'to query and transform data', 'to connect assemblies']",2
28,What are C# events?,"['public List contacts = new List();', 'public List(string names) contacts = new List(string names)();', 'var contacts = new List();', 'var contacts = new List(string);']",2
29,What kind of values can arrays store?,"['Throw clauses fire only at runtime, while throw exceptions can fire at any time.', 'Throw exceptions overwrite the stack trace, while throw clauses retain the stack information.', 'Throw clauses overwrite the stack trace, while throw exceptions retain the stack information.', 'Throw exceptions fire only at runtime, while throw clauses can fire during compile time.']",1
30,"Given this enumeration, how would you access the integer-type value of 'AppState.Loading'?","['The return yield statement is missing at the end of the method.', 'The method is missing an await keyword in its body.', 'The wait keyword is missing from the end of the method.', 'The yield keyword is missing from the method.']",1
31,What character would you use to start a regular expression pattern at a word boundary?,"['system actions that communicate directly with the compiler at runtime', 'actions that execute when the code compiles, generating logs and test output', 'actions that generate notifications, which are sent to their registered listeners', ""user-only methods that send data to the application's back end""]",2
32,"To conform to the following interface, which of its members need to be implemented?","['unordered collections of numerc values', 'key-value pairs of any C# supported type', 'class and struct instances', 'multiple variables, or collections, of the same type']",3
33,"You're dealing with multiple assemblies in your program, but are worried about memory allocation. At what point in the program life cycle are assemblies loaded into memory?","['string currentState = (string)AppState.Loading;', 'string currentState = AppState.Loading.integralVal;', 'int currentState = AppState.Loading.rawValue;', 'int currentState = (int)AppState.Loading;']",3
34,What is most accurate description of a regular expression?,"['d', '\\a', '\\b', '\\w']",2
35,Why would you use a class field in C,"['Both the FirstName and LastName properties need to be implemented.', 'Neither, they are both optional.', 'Only the LastName property needs to be implemented.', 'Only the FirstName property needs to be implemented.']",0
36,When would you use generics in your code?,"['at runtime', 'at compile time', 'only when required', 'only when programmatically loaded']",2
37,What prints to the console when this code is executed?,"['A regular expression is a C# tool used to parse HTML', 'A regular expression is a special text string for describing a search patters.', 'A regular expression allows a variable to be passed by reference.', 'A regular expression allows a class to conform to the Equatable protocol.']",1
38,How would you declare a sealed class named User?,"['To define behaviours of the class', 'To hold information and data contained in the class object', 'To communicate between classes and object', 'To store the class definition value']",1
39,What is the difference between non-static and static classes?,"['to increase code performance', 'all of these answers', 'when code reuse is a priority', 'when type safety is important']",1
40,Which characteristic prevents this code from compiling?,"['Login successful...', 'Valid user!', ""an error, because the method signature of Login doesn't match the delegate"", 'Login successful... Valid user!']",2
41,How would you serialize this class?,"['public class User {}', 'abstract User {}', 'sealed class User {}', 'private sealed class User {}']",2
42,How would you write a delegate named ResultCallback with an int parameter named responseCode?,"['non-static classes need to be initialized before use, while static classes do not', 'non-static classes are accessible only from an interface while static classes are accessible from anywhere', 'non-static classes need to initialize all class members at runtime, while static classes do not', 'non-static classes do not need to be initialized while static classes do']",0
43,What is the difference between a static and non-static method?,"['type safety', 'single inheritance', 'dependency injection', 'multiple inheritance']",0
44,What is the correct way to write an event named apiResult based on a delegate named ResultCallback?,"['Mark the User class with the DeserializableAttribute.', 'Declare the class as public serializable class User {}.', 'Mark the User class with the SerializableAttribute attribute.', 'Declare the class as private serializable class User {}.']",2
45,When will the code inside finally block be executed in a try-catch statement?,"['public delegate ResultCallback(int responseCode);', 'public delegate void ResultCallback<(int) responseCode>;', 'public void delegate ResultCallback\\<int responseCode>;', 'public delegate void ResultCallback(int responseCode);']",3
46,What method correctly extends the string class?,"['non-static methods always need to have a void return type', 'non-static methods do not have access to static member variables', 'static methods do not have to instantiate an instance of the class to call the method', 'static methods always have to be public']",2
47,How are C# classses limited?,"['public void event ResultCallback apiResult;', 'public event ResultCallback(() -> apiResult);', 'public event void ResultCallback', 'public event ResultCallback apiResult;']",3
48,What function do namespaces perform?,"[""if there is an error, it won't execute at all"", 'between the try and catch blocks', 'after the try and catch blocks', 'when the finally block overrides the catch block and executes in its place']",2
49,What is the correct way to write a public property with a private backing field?,"['public static string IsvalidName(this string i, string value) {}', 'public static void IsvalidName(this string i, string value) {}', 'public string IsvalidName(this string i, string value) {}', 'public void IsvalidName(this string i, string value) {}']",0
50,What is a thread pool?,"['They do not support multiple inheritance.', 'They support multiple inheritance.', 'They can have only a set number of properties.', 'They can have only a set number of methods.']",0
51,"When an object in C# is serialized, what is it converted to?","['Namespaces calculate code coverage at runtime.', 'Namespaces compile application code together at compile time.', 'Namespaces group code together into a single repository.', 'Namespaces separate code into groupings, control access, and void naming collisions.']",3
52,What is a delegate,[''],-1
53,What are the four keywords associated with exception handling in C#?,[''],-1
54,What is the main difference between the is and as operators?,[''],-1
55,What is the difference between finally and finalize blocks?,[''],0
56,"Your application has a value type called username that needs to be able to accept null values, but this is generating compile-time errors. How would you fix this in code?","['a collection of synchronous methods created during initialization that cannot be reused', 'a collection of threads created during initialization that can be reused', 'a collection of threads only recognized at compile time that can be reused', 'a collection of asynchronous methods created at compile time that cannot be reused']",1
57,Which code snippet correctly declares a custom exception named InvalidResponse?,"['XML', 'JSON', 'byte stream', 'value stream']",2
58,"How would you write an enum variable called AppState with values for Offline, Loading, and Ready?","['a variable that holds a reference to a value type and its content', 'a specific value type that can be used only in callback methods', 'a type that holds a reference to a method with a particular parameter list and return type', 'a custom variable type that can be used in abstract classes']",2
59,What is the main difference between a value type and a reference type?,"['try, catch, valid, invalid', 'try, valid, finally, throw', 'try, catch, finally, throw', 'finally, throw, valid, invalid']",2
