,Question,Answers,Right Index
0,Which operator returns true if the two compared values are not equal?,"['<>', '~', '==!', '!==']",3
1,How is a forEach statement different from a for statement?,"['Only a for statement uses a callback function.', 'A for statement is generic, but a forEach statement can be used only with an array.', 'Only a forEach statement lets you specify your own iterator.', 'A forEach statement is generic, but a for statement can be used only with an array.']",1
2,Review the code below. Which statement calls the addTax function and passes 50 as an argument? How would you use this function to find out how much tax should be paid on \$50?,"['addTax = 50;', 'return addTax 50;', 'addTax(50);', 'addTax 50;']",2
3,Which statement is the correct way to create a variable called rate and assign it the value 100?,"['let rate = 100;', 'let 100 = rate;', '100 = let rate;', 'rate = 100;']",0
4,"Which statement creates a new object using the Person constructor? Which statement creates a new Person object called ""student""?","['var student = new Person();', 'var student = construct Person;', 'var student = Person();', 'var student = construct Person();']",0
5,When would the final statement in the code shown be logged to the console? When would 'results shown' be logged to the console?,"['after 10 second', 'after results are received from the HTTP request', 'after 10000 seconds', 'immediately']",3
6,"Which snippet could you add to this code to print ""food"" to the console?","['a.prototype.belly[0]', 'Object.getPrototype0f (a).belly[0]', 'Animal.belly[0]', 'a.belly[0]']",2
7,"You've written the code shown to log a set of consecutive values, but it instead results in the value 5, 5, 5, and 5 being logged to the console. Which revised version of the code would result in the value 1, 2, 3 and 4 being logged?",['.'],-1
8,How does a function create a closure?,['.'],-1
9,Which statement creates a new function called discountPrice?,['.'],0
10,What is the result in the console of running the code shown?,['.'],-1
11,You need to match a time value such as 12:00:32. Which of the following regular expressions would work for your code?,"['It reloads the document whenever the value changes.', 'It returns a reference to a variable in its parent scope.', 'It completes execution without returning.', 'It copies a local variable to the global scope.']",1
12,What is the result in the console of running this code?,['.'],0
13,How would you reference the text 'avenue' in the code shown?,['.'],-1
14,What is the result of running this statement?,['.'],-1
15,Which property references the DOM object that dispatched an event?,['.'],-1
16,You're adding error handling to the code shown. Which code would you include within the if statement to specify an error message?,"['Storm()', 'undefined', ""'rain'"", ""'snow'""]",3
17,Which method converts JSON data to a JavaScript object?,"['/[0-9]{2,}:[0-9]{2,}:[0-9]{2,}/', '/\\d\\d:\\d\\d:\\d\\d/', '/[0-9]+:[0-9]+:[0-9]+/', '/ : : /']",1
18,When would you use a conditional statement?,"['undefined', 'window', '{desc: ""logger""}', 'function']",2
19,What would be the result in the console of running this code?,"['roadTypes.2', 'roadTypes[3]', 'roadTypes.3', 'roadTypes[2]']",3
20,Which Object method returns an iterable that can be used to iterate over the properties of an object?,"[""'float'"", ""'value'"", ""'number'"", ""'integer'""]",2
21,What will be logged to the console?,"['self', 'object', 'target', 'source']",2
22,What is one difference between collections created with Map and collections created with Object?,"[""exception('One or both parameters are not numbers')"", ""catch('One or both parameters are not numbers')"", ""error('One or both parameters are not numbers')"", ""throw('One or both parameters are not numbers')""]",3
23,What is the value of dessert.type after executing this code?,"['JSON.fromString();', 'JSON.parse()', 'JSON.toObject()', 'JSON.stringify()']",1
24,0 && hi,"['When you want to reuse a set of statements multiple times.', 'When you want your code to choose between multiple options.', 'When you want to group data together.', 'When you want to loop through a group of statement.']",1
25,Which of the following operators can be used to do a short-circuit evaluation?,"['1 2 3 4 5', '1 2 3 4', '0 1 2 3 4', '0 1 2 3 4 5']",2
26,Which statement sets the Person constructor as the parent of the Student constructor in the prototype chain?,"['Object.get()', 'Object.loop()', 'Object.each()', 'Object.keys()']",3
27,"Why would you include a ""use strict"" statement in a JavaScript file?","['101', '3', '4', '100']",0
28,Which Variable-defining keyword allows its variable to be accessed (as undefined) before the line that defines it?,"['You can iterate over values in a Map in their insertion order.', 'You can count the records in a Map with a single method call.', 'Keys in Maps can be strings.', 'You can access values in a Map without iterating over the whole collection.']",1
29,Which of the following values is not a Boolean false?,"['pie', 'The code will throw an error.', 'pudding', 'undefined']",2
30,Which of the following is not a keyword in JavaScript?,"['ReferenceError', 'True', '0', 'false']",2
31,Which variable is an implicit parameter for every function in JavaScript?,"['\\++', '\\--', '\\==', '\\|\\|']",3
32,"For the following class, how do you get the value of 42 from an instance of X?","['Student.parent = Person;', 'Student.prototype = new Person();', 'Student.prototype = Person;', 'Student.prototype = Person();']",1
33,What is the result of running this code?,"['to tell parsers to interpret your JavaScript syntax loosely', 'to tell parsers to enforce all JavaScript syntax rules when processing your code', 'to instruct the browser to automatically fix any errors it finds in the code', 'to enable ES6 features in your code']",1
34,Why is it usually better to work with Objects instead of Arrays to store a collection of records?,"['all of them', 'const', 'var', 'let']",2
35,"Which statement is true about the ""async"" attribute for the HTML script tag?","['Boolean(0)', 'Boolean("""")', 'Boolean(NaN)', 'Boolean(""false"")']",3
36,"How do you import the lodash library making it top-level Api available as the ""_"" variable?","['this', 'catch', 'function', 'array']",3
37,What does the following expression evaluate to?,"['Arguments', 'args', 'argsArray', 'argumentsList']",0
38,What type of function can have its execution suspended and then resumed at a later point?,"[""x.get('Y')"", 'x.Y', 'x.Y()', 'x.get().Y']",1
39,What will this code print?,"['30, ReferenceError, 30, -10', '30, ReferenceError', '30, -10', 'ReferenceError, -10']",1
40,Which statement is true about Functional Programming?,"['Objects are more efficient in terms of storage.', 'Adding a record to an object is significantly faster than pushing a record into an array.', 'Most operations involve looking up a record, and objects can do that better than arrays.', 'Working with objects makes the code more readable.']",2
41,Your code is producing the error: TypeError: Cannot read property 'reduce' of undefined. What does that mean?,"['It can be used for both internal and external JavaScript code.', 'It can be used only for internal JavaScript code.', 'It can be used only for internal or external JavaScript code that exports a promise.', 'It can be used only for external JavaScript code.']",3
42,How many prototype objects are in the chain for the following array?,"[""import _ from 'lodash';"", ""import 'lodash' as _;"", ""import '_' from 'lodash;"", ""import lodash as _ from 'lodash';""]",0
43,Which choice is not a unary operator?,"['True', 'undefined', '[]', 'False']",3
44,What type of scope does the end variable have in the code shown?,"['Generator function', 'Arrow function', 'Async/ Await function', 'Promise function']",0
45,What will the value of y be in this code:,"['2', '1', 'Nothing - this code will throw an error.', 'undefined']",1
46,Which keyword is used to create an error?,"['Every object in the program has to be a function.', 'Code is grouped with the state it modifies.', 'Date fields and methods are kept in units.', 'Side effects are not allowed.']",3
47,What's one difference between the async and defer attributes of the HTML script tag?,"[""You are calling a method named reduce on an object that's declared but has no value."", 'You are calling a method named reduce on an object that does not exist.', 'You are calling a method named reduce on an empty array.', ""You are calling a method named reduce on an object that's has a null value.""]",0
48,The following program has a problem. What is it?,"['3', '2', '0', '1']",1
49,Which statement references the DOM node created by the code shown?,"['typeof', 'delete', 'instanceof', 'void']",2
50,What value does this code return?,"['conditional', 'block', 'global', 'function']",1
51,What is the result in the console of running the code shown?,"['One', 'undefined', 'TRUE', 'Two']",3
52,What will this code log in the console?,"['throw', 'exception', 'catch', 'error']",0
53,Which collection object allows unique value to be inserted only once?,"['The defer attribute can work synchronously.', 'The defer attribute works only with generators.', 'The defer attribute works only with promises.', 'The defer attribute will asynchronously load the scripts in order.']",3
54,What two values will this code print?,"['The condition in the ternary is using the assignment operator.', ""You can't define a variable without initializing it."", ""You can't use a ternary in the right-hand side of an assignment operator."", 'The code is using the deprecated var keyword.']",0
55,How does the forEach() method differ from a for statement?,"[""Document.querySelector('class.pull')"", ""document.querySelector('.pull');"", ""Document.querySelector('pull')"", ""Document.querySelector('#pull')""]",1
56,Which choice is an incorrect way to define an arrow function that returns an empty object?,"['10', 'true', 'false', '0']",0
57,Why might you choose to make your code asynchronous?,"['10', '0', 'ReferenceError', 'undefined']",2
58,Which expression evaluates to true?,"['undefined', '""hello""', 'an object with a constructor property', 'an error message']",2
59,Which of these is a valid variable name?,"['Object', 'Set', 'Array', 'Map']",1
60,Which method cancels event default behavior?,"['1 then 1', '1 then undefined', 'undefined then undefined', 'undefined then 1']",2
