,Question,Answers,Right Index
0,What is an abstract class?,"['An abstract class is the name for any class from which you can instantiate an object.', 'Abstract classes must be redefined any time an object is instantiated from them.', 'Abstract classes must inherit from concrete classes.', 'An abstract class exists only so that other ""concrete"" classes can inherit from the abstract class.']",3
1,What happens when you use the build-in function any() on a list?,"['The any() function will randomly return any item from the list.', 'The any() function returns True if any item in the list evaluates to True. Otherwise, it returns False.', 'The any() function takes as arguments the list to check inside, and the item to check for. If ""any"" of the items in the list match the item to check for, the function returns True.', 'The any() function returns a Boolean value that answers the question ""Are there any items in this list?""']",1
2,What data structure does a binary tree degenerate to if it isn't balanced properly?,"['linked list', 'queue', 'set', 'OrderedDict']",0
3,What statement about static methods is true?,"['Static methods are called static because they always return None.', 'Static methods can be bound to either a class or an instance of a class.', ""Static methods serve mostly as utility methods or helper methods, since they can't access or modify a class's state."", 'Static methods can access and modify the state of a class or an instance of a class.']",2
4,What are attributes?,"['Attributes are long-form version of an if/else statement, used when testing for equality between objects.', 'Attributes are a way to hold data or describe a state for a class or an instance of a class.', 'Attributes are strings that describe characteristics of a class.', 'Function arguments are called ""attributes"" in the context of class methods and instance methods.']",1
5,What is the term to describe this code?,"['tuple assignment', 'tuple unpacking', 'tuple matching', 'tuple duplication']",1
6,What built-in list method would you use to remove items from a list?,"['.delete() method', 'pop(my_list)', 'del(my_list)', '.pop() method']",3
7,What is one of the most common use of Python's sys library?,"[""to capture command-line arguments given at a file's runtime"", 'to connect various systems, such as connecting a web front end, an API service, a database, and a mobile app', 'to take a snapshot of all the packages and libraries in your virtual environment', 'to scan the health of your Python ecosystem while inside a virtual environment']",0
8,What is the runtime of accessing a value in a dictionary by using its key?,"['O(n), also called linear time.', 'O(log n), also called logarithmic time.', 'O(n^2), also called quadratic time.', 'O(1), also called constant time.']",3
9,"What is the correct syntax for defining a class called Game, if it inherits from a parent class called LogicGame?","['class Game(LogicGame): pass', 'def Game(LogicGame): pass', 'def Game.LogicGame(): pass', 'class Game.LogicGame(): pass']",0
10,What is the correct way to write a doctest?,['A'],-1
11,What built-in Python data type is commonly used to represent a stack?,['B'],0
12,What would this expression return?,['C'],-1
13,"What is the purpose of the ""self"" keyword when defining or calling instance methods?",['D'],-1
14,Which of these is NOT a characteristic of namedtuples?,"['set', 'list', 'None', 'dictionary', 'You can only build a stack from scratch.']",1
15,What is an instance method?,"[""[('Freshman', 2019), ('Sophomore', 2020), ('Junior', 2021), ('Senior', 2022)]"", ""[(2019, 2020, 2021, 2022), ('Freshman', 'Sophomore', 'Junior', 'Senior')]"", ""[('Freshman', 'Sophomore', 'Junior', 'Senior'), (2019, 2020, 2021, 2022)]"", ""[(2019, 'Freshman'), (2020, 'Sophomore'), (2021, 'Junior'), (2022, 'Senior')]""]",3
16,Which statement does NOT describe the object-oriented programming concept of encapsulation?,"['self means that no other arguments are required to be passed into the method.', ""There is no real purpose for the self method; it's just historic computer science jargon that Python keeps to stay consistent with other programming languages."", 'self refers to the instance whose method was called.', 'self refers to the class that was inherited from to create the object using self.']",2
17,What is the purpose of an if/else statement?,"['You can assign a name to each of the namedtuple members and refer to them that way, similarly to how you would access keys in dictionary.', 'Each member of a namedtuple object can be indexed to directly, just like in a regular tuple.', 'namedtuples are just as memory efficient as regular tuples.', 'No import is needed to use namedtuples because they are available in the standard library.']",3
18,What built-in Python data type is best suited for implementing a queue?,"['Instance methods can modify the state of an instance or the state of its parent class.', 'Instance methods hold data related to the instance.', ""An instance method is any class method that doesn't take any arguments."", 'An instance method is a regular function that belongs to a class, but it must return None.']",0
19,What is the correct syntax for instantiating a new object of the type Game?,"['It protects the data from outside interference.', 'A parent class is encapsulated and no data from the parent class passes on to the child class.', 'It keeps data and the methods that can manipulate that data in one place.', 'It only allows the data to be changed by methods.']",3
20,What does the built-in map() function do?,"['It tells the computer which chunk of code to run if the instructions you coded are incorrect.', 'It runs one chunk of code if all the imports were successful, and another chunk of code if the imports were not successful.', 'It executes one chunk of code if a condition is true, but a different chunk of code if the condition is false.', 'It tells the computer which chunk of code to run if the is enough memory to handle it, and which chunk of code to run if there is not enough memory to handle it.']",2
21,"If you don't explicitly return a value from a function, what happens?","['dictionary', 'set', 'None. You can only build a queue from scratch.', 'list']",3
22,What is the purpose of the pass statement in Python?,"['my_game = class.Game()', 'my_game = class(Game)', 'my_game = Game()', 'my_game = Game.create()']",2
23,What is the term used to describe items that may be passed into a function?,"['It creates a path from multiple values in an iterable to a single value.', 'It applies a function to each item in an iterable and returns the value of that function.', 'It converts a complex value type into simpler value types.', 'It creates a mapping between two different elements of different iterables.']",1
24,Which collection type is used to associate values with unique keys?,"[""The function will return a RuntimeError if you don't return a value."", 'If the return keyword is absent, the function will return None.', 'If the return keyword is absent, the function will return True.', ""The function will enter an infinite loop because it won't know when to stop executing its code.""]",1
