,Question,Answers,Right Index
0,Which two sets of values are printed by this function and sub?,[':'],-1
1,This code shows the first statement of CalledSub. Which calling statement will work properly?,[':'],0
2,What is the principal difference between a class and an object?,[':'],-1
3,What value does the MsgBox statement display?,[':'],-1
4,What object is needed to put a userform module in a VBA project?,"['call Calledsub ""smith"",26', 'calledsub (surname=""smith"", Age = 26)', 'calledsub (Surname:=""Smith"", Age:=26)', 'calledsub ""smith"", 26']",3
5,What is the output?,"['There is no meaningful difference. The terms are used interchangeably.', ""A class declares an object's properties. An object completes the declaration by defining events and methods."", 'An object is a template for a class.', 'A class describes the design of an object. An object is an instance of that design.']",3
6,The Driver subroutine is declared by Sub Driver (Y). Which statement results in a compile error?,"['2', '10', 'First arg', '3.1416']",2
7,"You have several variables to display on a user form, and there are too many variables to display at once. Which control best enables the user to see all the variables?","['associated standard code module', 'UserForm', 'associated class module', 'userForm class']",-1
8,Below is a function named SquareIt. Which version of the subroutine named Area results in a compile error?,"['3', '0', '9', '6']",0
9,"EmailAddress() is an array. It is declared by Dim EmailAddress(10) As String, and option Base 1 is in effect. How many rows and columns are in EmailAddress()?","['Driver x', 'call Driver(x)', 'call Driver x', 'Driver (X)']",-1
10,Which cell is selected if you run this code?,"['Frame', 'multipage', 'TabStrip', 'ListBox']",3
11,Which variable name is valid in VBA?,['sub Area()'],-1
12,Which is a valid definition of a user-defined data type?,['Sub Area()'],-1
13,What is one way to duplicate a user form from one project into a different project?,"['10 rows and 10 columns', '10 rows and 1 column', '10 rows and 0 columns', '1 row and 10 columns']",1
14,The recording of a macro in Word is likely to be an incomplete record of the user's actions. Why?,"['F5', 'F3', 'B3', 'E3']",1
15,Which statement should precede a subroutine's error handler?,"['_MyVar', 'My_Var', 'My-Var', '1MyVar']",1
16,How many values can MyArray hold?,[':'],0
17,Which statement is true?,[':'],-1
18,"A declaration has scope, which has three levels. What are they?",[':'],-1
19,There are two references that must be selected in the Visual Basic Editor in order for any Visual Basic code to run in Excel. What are these two references?,[':'],-1
20,Which action will cause your project to reset its variables?,"['] :', 've and close the project with the existing user form.', 'ck Insert > File.', 'wse to the location of the existing project.', 'ght-click it and select the user-form you want to duplicate.', '] :', 'en the existing user form in Desing Mode.', 'ht-click the form and select Copy.', 'tch to the other project.', 'ght-click Module and select Paste.', '] :', 'the Project Explorer, right-click the user form and select Copy.', 'tch to the new project.', 'ght-click UserForms and select Paste.', '] :', 'en the existing user form in Design Mode.', 'ck File > Export File.', 'tch to the other project.', 'ck File > Import File.']",-1
