,Question,Answers,Right Index
0,Which command adds members to the replica set from MongoDB shell?,"['rs.add(""<hostname>"")', 'replicaSetAdd(""<hostname>"")', 'rs.insert(""<hostname>"")', 'replica.add(""<hostname>"")']",0
1,Which MongoDB shell command should you use to back up a database?,"['restore', 'backup', 'mongobackup', 'mongodump']",3
2,Which shell query displays all citizens with an age greater than or equal to 21?,"[""db.citizens.select('WHERE age >= 21')"", ""db.citizens.where('age >= 21')"", ""db.citizens.find('WHERE age >= 21')"", 'db.citizens.find({age: {$gte: 21}})']",3
3,What does a MongoDB collection consist of?,"['data', 'documents', 'fields', 'rows']",1
4,"Given an ObjectId in _id, how do you get the time it was created?","['getDateTime(_id)', '_id.createDate()', '_id.getTimestamp()', '_id.getDateTime()']",2
5,"Given a cursor named myCursor, which command returns a boolean value?","['myCursor.hasNext()', 'myCursor.sort()', 'myCursor.next()', 'myCursor.find()']",0
6,Which command returns a specific document in the user's collection?,"['db.users.find({_id: 1})', 'db.users.seek({_id: 1})', 'db.users.query({_id: 1})', 'db.query.users({_id: 1})']",0
7,"To import a JSON array into Mongo, what flags are needed with MongoDBimport?","['--type jsonArray', '--json', '--type json', '--jsonArray']",3
8,Choose the shell command that connects to a MongoDB database.,"['mongo', 'mongod', 'mongoconnect', 'dbconnect']",0
9,"In the MongoDB shell, how can you tell if an index was used with a query?","[""db.customers.find({lastName: 'smith'}).explain()"", ""db.customers.find({lastName: 'smith'}).perf()"", ""db.customers.find({lastName: 'smith'}).plan()"", ""db.customers.find({lastName: 'smith'}).usedIndex()""]",0
10,Suppose your aggregation pipeline terminated with an exception referring to exceeded memory limit. What is the best way to resolve the issue?,"['Set useMemory to twice amount indicated in exception.', 'Switch a 64 bit instance of MongoDB.', 'Increase the memory of the MongoDB server.', 'Set allowDiskUse to true.']",3
11,What is the recommended way to delete a user?,"['db.deleteUser(""user"")', 'db.removeUser(""user"") DEPRECATED', 'db.remove(""user"")', 'db.dropUser(""user"")']",3
12,"What the primary database in a replica set fails, when does failover begin?","['once the primary has been down for 10 minutes', 'once the primary reboots', 'immediately', 'after the administrator reboots the primary']",2
13,What is the correct option to set up Kerberos when starting MongoDBd?,"['--setParameter authenticationMechanisms=GSSAPI', '--setAuthentication=GSSAPI', '--setParam auth=K', '--setAuth method=Kerberos']",0
14,What is the purpose of an arbiter in a replica set?,"['It monitors replica set and sends email in case of failure', 'It casts the tie-breaking vote in an election.', 'It holds a backup copy of the database.', 'It reboots the failed server.']",1
15,You want to know how many types of items you have in each category. Which query does this?,"['db.product.group({_id: ""$category"", count: {$sum:1}})', 'db.product.aggregate($sum: {_id: ""$category"", count: {$group:1}})', 'db.product.aggregate($group: {_id: ""$category"", count: {$sum:1}})', 'db.product.aggregate($count: {_id: ""$category"", count: {$group:1}})']",2
16,"To restrict the number of records coming back from a query, which command should you use?","['take', 'limit', 'max', 'skip']",1
17,"You have a collection named restaurants with the geographical information stored in the location property, how do you create a geospatial index on it?","['db.restaurants.createIndex({location: ""2dsphere""})', 'db.restaurants.geospatial({location: ""2dsphere""})', 'db.restaurants.createIndex(""2dsphere"":""location"")', 'db.restaurants.createIndex({geospatial: ""location""})']",0
18,How do you find documents with a matching item in an embedded array?,"['db.customers.findmatch ({""jobs"":""secretary""})', 'db.customers.find ({""jobs:secretary""})', 'db.customers.find ({""jobs"":[""secretary""]})', 'db.customers.find ({""jobs"":""secretary""})']",3
19,Which query bypasses the first 5 customers and returns the next 10?,"['db.customers.find({}, {skip: 5, limit: 10})', 'db.customers.find({}.page(5).take(10))', 'db.customers.find({}).skip(5).take(10)', 'db.customers.find({}).skip(5).limit(10)']",3
20,How do you create a text index?,"['db.customers.createIndex({firstName, lastName})', 'db.customers.createTextIndex({firstName, lastName})', 'db.customers.createIndex({firstName: ""text"", lastName: ""text""})', 'db.customers.createText({firstName: 1, lastName: 1})']",2
21,"Assuming you have customers collection with a firstName and lastName field, which is the correct MongoDB shell command to create an index on lastName, then firstName both ascending?","['db.customers.createIndex(""lastName, firstName, ASC"")', 'db.customers.addIndex({lastName:""ASC"", firstName: ""ASC""})', 'db.customers.newIndex({lastName:1, firstName:1})', 'db.customers.createIndex({lastName:1, firstName: 1})']",3
22,One of the documents in your collection has an _id based upon an older database design and you want to change it. You write an update command to find the document and replace the _id but the _id isn't changed. How should you fix the issue?,"['Set the replace option to true.', 'Use the replaceOne() command instead.', ""You can't. Once set, the _id field cannot be changed."", 'Use the updateOne() command instead.']",2
23,A compound index allows you to _ ?,"['Calculate interest quickly.', ""Accomplish nothing, since compound indexes aren't allowed in Mongo."", 'Use more than one field per index.', 'Combine fields in different collations.']",3
24,Why are ad-hoc queries useful?,"['They do not have to use the same operators.', 'You do not need to structure the database to support them.', 'They autogenerate reports.', 'They run faster than indexed queries.']",3
25,How often do the members of a replica set send heartbeats to each other?,"['every 2 minutes', 'every 5 seconds', 'every 2 seconds', 'every 10 seconds']",2
26,Which command returns all of the documents in the customers collection?,"['db.customers.all();', 'db.find().customers();', 'db.customers.find();', 'db.customers.show();']",2
27,"Given a cursor named myCursor, pointing to the customers collection, how to you get basic info about it?","['myCursor.stats()', 'myCursor.dump()', 'myCursor.info()', 'myCursor.explain()']",3
28,What is true about indexes?,"['They speed up read access while slowing down writes.', 'They secure the database from intruders.', 'They speed up reads and writes.', 'They speed up write access while slowing down reads.']",0
29,What is the preferred format to store geospatial data in MongoDB?,"['Latitude, longitude', 'XML', 'GeoJSON', 'BSON']",2
30,"Which programming language is used to write MongoDB queries? (Alternative: In the MongoDB shell, what programming language is used to make queries?)","['Python', 'JavaScript', 'SQL', 'TypeScript']",1
