,Question,Answers,Right Index
0,Which image matches the flex layout defined in this style rule?,"['', '', '', '']",1
1,Variables declared with the let keyword have what type of scope?,"['function scope', 'block scope', 'inline scope', 'global scope']",1
2,Why would you surround a piece of text with <h1></h1> tags?,"['to indicate that this text is the main heading on the page', 'to make the text bold', 'to ensure that search engines treat the keywords as being important for this page', 'to demonstrate to screen readers that this text is important']",0
3,When might an empty alt attribute be the correct value?,"['when you cannot think of useful alt text', ""when you don't think it would be interesting to someone who cannot see it"", 'when the image has come from a CMS', 'when the image is purely decorative']",3
4,Which attribute must have a unique value each time it is used in an HTML document?,"['title', 'class', 'style', 'id']",3
5,Which CSS property will not trigger layout recalculation?,"['top', 'opacity', 'width', 'height']",1
6,What will be the value of selected?,"['log', 'apple', 'stone', 'turnip']",2
7,What does the === comparison operator do?,"['It sets one variable equal to another in both value and type', 'It tests for equality of type only', 'It tests for equality of value only', 'It tests for equality of value and type']",3
8,"In the following code, the variable fruit has been assigned a value of apple. How would you change the value to plum?","[""let fruit = 'plum'"", ""var fruit = 'plum'"", ""const fruit = 'plum'"", ""fruit = 'plum'""]",3
9,What is the <label> element used for?,"['to identify the difference parts of a figure', 'to explain what needs to be entered into a form field', 'as a caption for images', 'as a heading for tables']",1
10,The browser finds some CSS that it does not understand. What is likely happen?,"['The page will not display', 'An error message will be displayed', 'The browser will not load the stylesheet', 'The browser will ignore the unknown CSS']",3
11,"In this code, what is the term for the h1?","['selector', 'combinator', 'declarator', 'markup']",0
12,Which HTML will result in text being highlighted in yellow?,"['<span class=""highlight"">#BLM</span>', '<span style=""highlight"">#BLM</span>', '<highlight"">#BLM</span>', '<div id=""highlight"">#BLM</span>']",0
13,Which choice is not a value of the type attribute of the <input> element?,"['range', 'address', 'date', 'password']",1
14,You have used display: none in your stylesheet. Which users will be able to see or hear this content?,"['all users', 'users who can see the content on screen', 'no users', 'screen reader users']",2
15,Which choice is not part of CSS box model,"['margin', 'border', 'padding', 'paragraph']",3
16,Which part of the URL https://app.uniswap.org/pool specifies the domain name,"['https', 'org', 'uniswap.org', 'app.uniswap']",2
17,Which HTML element is not considered a landmark element?,"['<form>', '<ul>', '<main>', '<nav>']",1
18,Which statement is true when an HTML tag has been deprecated?,"['It employs code that can be viewed only on a desktop computer', 'It is obsolete and is not recommended for use in marking web content', 'It employs code that will require users to update their browsers', 'It employs incorrect syntax that will cause the browser to crash']",1
19,How does the rem unit represent a font size?,"['Font sizes are expressed relative to the font size of the containing div element', 'Font sizes are expressed relative to the font size of the parent elements', 'Font sizes are relative to the base font size of the operating system.', 'Font sizes are relative to the root em unit used in the HTML element.']",3
20,Which HTML element represents either a scalar value within a known range OR a fractional value?,"['<meter>', '<range>', '<datalist>', '<optgroup>']",0
21,What is Webpack primarily used for?,"['sharing JavaScript code with other people', 'making JavaScript-reliant sites accessible to users who do not have JavaScript turned on', 'bundling individual JavaScript files for use in your website', 'source control']",2
22,"How many columns will there be, given this code?","['one', 'three', 'four', 'two']",3
23,Which style will change the color of the text?,['A'],-1
24,You find this code in a stylesheet. What is it being used for?,['B'],-1
25,What is the correct way to initialize an array of galaxies in JavaScript?,['C'],0
26,Which description correctly describes the initial values of flex items if the only thing you have done is apply display: flex to their parent?,['D'],-1
