,Question,Answers,Right Index
0,"In the following example, which selector has the highest specificity ranking for selecting the anchor link element?","['.example a', 'div a', 'a', 'ul li a']",0
1,"Using an attribute selector, how would you select an <a> element with a ""title"" attribute?","['a[title]{...}', 'a > title {...}', 'a.title {...}', 'a=title {...}']",0
2,What is the CSS selector for an <a> tag containing the title attribute?,"['a[title]', 'a > title', 'a=title', 'a.title']",0
3,"CSS grid and flexbox are now becoming a more popular way to create page layouts. However, floats are still commonly used, especially when working with an older code base, or if you need to support older browser version. What are two valid techniques used to clear floats?","['Use the ""clearfix hack"" on the floated element and add a float to the parent element.', 'Use the overflow property on the floated element or the ""clearfix hack"" on either the floated or parent element.', 'Use the ""clearfix hack"" on the floated element or the overflow property on the parent element.', 'Use the ""clearfix hack"" on the parent element or use the overflow property with a value other than ""visible.""']",3
4,What element(s) do the following selectors match to?,"['```markdown', 'element with an ID of ""nav""', 'av element', 'element with a class of ""nav""\n  ```', 'markdown\n      They all target the same nav element.', '```markdown', 'element with an class of ""nav""', 'av element', 'element with a id of ""nav""\n  ```', '```markdown', 'element with an class of ""nav""', 'av element', 'div with a id of ""nav""\n  ```']",5
5,"When adding transparency styles, what is the difference between using the opacity property versus the background property with an rgba() value?","['Opacity specifies the level of transparency of the child elements. Background with an rgba() value applies transparency to the background color only.', 'Opacity applies transparency to the background color only. Background with an rgba() value specifies the level of transparency of an element, as a whole, including its content.', 'Opacity specifies the level of transparency of an element, including its content. Background with an rgba() value applies transparency to the background color only.', 'Opacity applies transparency to the parent and child elements. Background with an rgba() value specifies the level of transparency of the parent element only.']",2
6,What is true of block and inline elements? (Alternative: Which statement about block and inline elements is true?),"['By default, block elements are the same height and width as the content container between their tags; inline elements span the entire width of its container.', 'By default, block elements span the entire width of its container; inline elements are the same height and width as the content contained between their tags.', 'A <nav> element is an example of an inline element. <header> is an example of a block element.', 'A <span> is an example of a block element. <div> is an example of an inline element.']",1
7,"CSS grid introduced a new length unit, fr, to create flexible grid tracks. Referring to the code sample below, what will the widths of the three columns be?","['The first column will have a width of 50px. The second column will be 50px wide and the third column will be 100px wide.', 'The first column will have a width of 50px. The second column will be 150px wide and the third column will be 300px wide.', 'The first column will have a width of 50px. The second column will be 300px wide and the third column will be 150px wide.', 'The first column will have a width of 50px. The second column will be 500px wide and the third column will be 1000px wide.']",1
8,"If the width of the container is 500 pixels, what would the width of the three columns be in this layout?","['50px, 150px, 300px', '50px, 200px, 300px', '50px, 100px, 200px', '50px, 50px, 100px']",0
9,What is the line-height property primarily used for?,"['to control the height of the space between two lines of content', 'to control the height of the space between heading elements', 'to control the height of the character size', 'to control the width of the space between characters']",0
