,Question,Answers,Right Index
0,"What is the purpose of the <track> tag, and when should it be used?","['The <track> tag is used for specifying subtitles. It is typically applied as a child of the <audio> and <video> tags.', 'The <track> tag is used for specifying subtitles. It is typically applied as a child of the <video> tag.', 'The <track> tag is used for specifying subtitles, captions, and other types of time-based text. It is typically applied as a child of the <video> tag.', 'The <track> tag is used for specifying subtitles, captions, and other types of time-based text. It is typically applied as a child of the <audio> and <video> tag.']",3
1,What are the best examples of void elements?,"['<link><meta><title>', '<br><base><source>', '<input><br><p>', '<area><embed><strong>']",1
2,"In HTML5, which tag or tags embed a webpage inside of a webpage?","['<iframe>, <frame>, and <frameset>', '<frame>', '<iframe>', '<frame> and <frameset>']",2
3,Where do <header> and <footer> tags typically occur?,"['as children of <body>, <article>, <aside>, and <section> tags', 'as children of <body>, <article>, and <section> tags', 'as children of <body>, <article>, <aside>, <nav>, and <section> tags', 'as children of <body>, <article>, <table>, and <section> tags']",1
4,What is the best way to apply bold styling to text?,"['<strong>', 'Use CSS.', '<bold>', '<b>']",0
5,When is the <link> tag used?,"['when linking style sheets, JavaScript, and icons for mobile apps', 'when linking style sheets, favicons, and preloading assets', 'when linking one webpage to another', 'when linking style sheets, external URLs, and favicons']",1
6,What should fill the two blanks in the HTML code below?,"['itemscope itemtype=""http://schema.org/PostalAddress""', 'itemsref=""http://schema.org/PostalAddress"" itemid=""address""', 'itemscope itemref=""http://schema.org/PostalAddress""', 'itemid=""address"" itemtype=""http://schema.org/PostalAddress""']",0
7,When should you use the <aside> element?,"[""when the content can be removed without detracting from the page's message"", 'for anything you want to move to the side, like a pull quote box, a sidebar, or an image with text wrapping around it', 'for anything in parentheses', 'for anything in a sidebar']",0
8,With which tags is the <source> element associated?,"['<svg>, <picture>, <audio>, and <video>', '<picture>, <audio>, and <video>', 'It is interchangeable with the src attribute, so any element which uses src may use <source>', '<audio> and <video>']",1
9,What is NOT a valid attribute for the <textarea> element?,"['readonly', 'max', 'form', 'spellcheck']",1
10,What is the best way to code the sample shown?,['A'],-1
11,â–¸ Parmesan Deviled Eggs,['B'],-1
12,â–¸ Parmesan Deviled Eggs,['C'],0
13,What is the purpose of the <samp> element?,['D'],-1
14,When should you use <ol> and <ul> elements?,"['It connects the web browser to a SA-MP server.', 'It identifies enclosed text as a sampler or an example.', 'It identifies sample output from a computer program.', 'It uses a simple application messaging protocol to connect the browser to a texting device.']",2
15,What is the difference between the post and get methods in a form?,"['Use <ul> when you want a bulleted list and <ol> when you want a numbered list.', 'Use <ul> when you have a list of items in which the order of the items matters. Use <ol> when you have a list of items that could go in any order.', 'Use <ol> when you want a bulleted list and <ul> when you want a numbered list.', 'Use <ol> when you have a list of items in which the order of the items matters. Use <ul> when you have a list of items that could go in any order.']",0
16,What is the difference between the <div> and <span> tags?,"['post is used for sending information to the server. get is used for retrieving form information from the server.', 'get is used for sending information to the server. post is used for retrieving form information from the server.', 'With get, data is included in the form body when send to the server. With post, the data goes through the URL.', 'With post, data is included in the form body when send to the server. With get, the data goes through the URL.']",3
17,What should fill the blank in the HTML code bellow?,"['<div> is used where a generic block-level tag is needed, while <span> is used where a generic inline tag is needed.', '<div> is used for major divisions on a page, while <span> is used to span across columns.', '<div> is the industry-standard default tag, but you could use <span> if you prefer.', '<div> is used where a generic inline tag is needed, while <span> is used where a generic block-level tag is needed.']",0
18,What is the correct markup for alt attribute of an image?,"['enctype', 'media', 'type', 'rel']",0
19,"In the code below, what is the purpose of the id attribute?",['A'],-1
20,What is the best semantic markup for the sentence shown?,['B'],-1
21,What should fill the blank in this HTML code?,['C'],0
22,Review the text in the red box in the image shown. What is the best way to code this in HTML?,['D'],-1
23,What is the best way to code three choices within a form so that the user can select only one item?,"['It establishes that id is a unique identifier in the document, used for styling CSS, scripting, and linking within a webpage.', 'It establishes that id is a unique identifier in the document, used for styling CSS and with Javascript code.', 'It establishes that id may be used for styling CSS several times per page.', 'It establishes that id is a unique identifier in the website, used for styling CSS, scripting, and linking within a webpage.']",0
24,How do you confirm that a document is written in HTML5?,['A'],0
25,What does the code shown below accomplish?,['B'],-1
26,What code will produce this table?,['C'],-1
27,What is the <hr>tag typically used for? / Alt.: What is the semantic meaning of the <hr> tag?,['D'],-1
28,What should fill the two blanks in the HTML code below?,"['es', 'es-spanish', 'es-es', 'spanish']",2
29,Which HTML snippet links back to the very top of a webpage?,"['ordered list', 'unordered list inside a nav element', 'ordered list inside a nav element', 'unordered list']",1
30,Which three tags where deprecated in HTML4 but returned to HTML5?,['A'],-1
31,"The _ tag is used for marking up a short code snippet, while the _ tag is used for marking up a longer block of code",['B'],-1
32,What does the <label> element do?,['C'],-1
33,"To get a link to open in a new window or tab, use the _ attribute",['D'],0
34,"What is the most semantically accurate way to mark up the sentence shown below? Note: ""TLAs"" stands for ""three-letter acronyms.""","['The server wraps the webpage in an HTML5 wrapper.', 'Use the <!DOCTYPE html> declaration that starts the document.', 'The browser receives encoding from the server to display the document with HTML5.', 'It is enclosed in a <html> tag.']",1
35,What is the correctly nested markup for this list?,"['It displays image1.jpg at 1000px and higher, image2.jpg at 750-999px, and image3.jpg at 749px and lower.', 'It displays image1.jps at 1000px and higher and image2.jpg at 750-999px, image3.jpg is a default in case <picture> is not supported.', 'It displays image1.jpg at 1000px and higher and image2.jpg at 750px and higher, image3.jpg is a default in case <picture> is not supported.', 'It displays image1.jpg, image2.jpg and image3.jpg at 1000px and higher.']",0
36,What should fill the blank below?,['A'],-1
37,What is the semantically correct way to mark up this layout?,['B'],0
38,Which choice uses the correct terminology in describing this markup: <p>info</p>?,['C'],-1
39,"What is the difference between <input type=""submit"" value=""click me""> and <button type=""submit"">Click me</button>?",['D'],-1
40,What is the best semantic way to indicate that text refers to keyboard entry?,"['This tag is depreciated (alt.: deprecated) and should not be used.', 'It designates a topic shift within a section at the paragraph level.', 'It draws a horizontal line.', 'It designates a shift of topic at the section level. / Alt.: It designates a separation of sections within an <article>.']",1
41,What does this code do?,"['itemprop=""aggregateRating"" itemref=""http://schema.org/AggregateRating""', 'itemprop=""aggregateRating"" itemtype=""http://schema.org/AggregateRating""', 'itemid=""aggregateRating"" itemtype=""http://schema.org/AggregateRating""', 'itemid=""aggregateRating"" itemref=""http://schema.org/AggregateRating""']",1
42,What attribute applies a keyboard shortcut hint to the current element?,['A'],0
43,"What is the correct way to code a link that, when clicked, will send an email to email@example.com with a subject of ""Hello""?",['B'],-1
44,Which tag is the root element of an HTML document?,['C'],-1
45,"Which code snippet creates the layout shown, starting at <table> and ending at </table>?",['D'],-1
46,Which choice is NOT a legal value for the name attribute within a <meta> tag?,"['<rb> <rp> <rt>', '<acronym> <code> <wbr>', '<hgroup> <q> <wbr>', '<b> <i> <u>']",0
47,Which form is coded correctly?,"['<kdb>, <pre>', '<pre>, <code>', '<kdb>, <mark>', '<code>, <pre>']",3
48,What does the poster attribute do in the <video> tag?,"['It labels webpages with important information.', 'It creates an ID for a corresponding input element.', ""It overrides the name attribute's value on a child input element."", 'It programmatically associates a text label with an interface element.']",3
49,What does this code do?,"['_blank', '_self', '_new', '_parent']",0
50,What is the primary purpose of the <canvas> tag?,['A'],-1
51,Which choice contains three valid block-level elements?,['B'],-1
52,"In the code below, what is the purpose of the lang attribute?",['C'],0
53,Which image formats can be displayed by all web browsers?,['D'],-1
54,Review the code below. What is the absolute URL for a page called page.html?,['A'],-1
55,What is the correct way to include a stylesheet named style.css in the <head> of your document?,"['office\n    \nstaple\npaper', 'ple', 'er', 'groceries\n    \nmilk', 'k']",-1
56,"You want to have single spacing in between some lines, like in a poem or an address. Which approach should you use?",['B'],0
57,What does the <wbr> tag do?,"['Office Supplies\n    \nStapler\nPaper clips', 'pler', 'er clips', 'Groceries\n    \nMilk', 'k']",-1
58,Review the code below. How do you include subnavigation for Link 2 that includes a link?,"['pler', 'er clips']",-1
59,What is the correct way to code a comment in HTML?,['k'],-1
60,Which statement is false?,['C'],-1
61,What is the best semantic to use Quotes in HTML?,"['ice', 'ple', 'er', 'ceries', 'k']",-1
62,How will a video look displayed on a fully loaded webpage if the <video> tag is used and the autoplay attribute is not set?,"['title', 'type', 'device', 'media']",3
63,"What is the correct way to describe an empty element / Alt.: What is the correct way to describe an empty element, such as a line break tag?",['A'],-1
64,What is the purpose of async in this code?,['B'],-1
65,What does this code do on a page you are visiting for the first time?,['C'],0
66,What is the difference between the <head> and <header> tags?,['D'],-1
67,"In this code, what is the purpose of defer?","['The element opener is <p>, the element closer is </p>, and the element information is info.', 'The start tag is <p>, the end tag is </p>, and the enclosed HTML is info.', 'The start tag is <p>, the end tag is </p>, and the element content is info.', 'The start element is <p>, the end element is </p>, and the tag content is info.']",2
68,The code below contains some errors. Which choice corrects all of the errors?,"['There is no difference. Both will render a button that submits a form.', 'Both will submit a form. However, the <button> can have content other than text, like an image or nested HTML elements, while the <input> cannot.', '<input type=""button""> has been deprecated in HTML5. You should use the <button> tag instead.', 'Both will submit a form. However, the <input> can have content other than text, like an image or nested HTML elements, while the <button> cannot.']",1
69,"Given the file and directory structure shown here, what is the correct element to place in file profit.html to link to info.html?","['<p>Press the <tt>Enter</tt> key to proceed.</p>', '<p>Press the <kbd>Enter</kbd> key to proceed.</p>', '<p>Press the <samp>Enter</samp> key to proceed.</p>', '<p>Press the Enter key to proceed.</p>']",1
70,When should you use the <article> element?,"[""The browser chooses the first supported format to play with the browser's default controls."", 'The browser chooses the best audio format to play with JavaScript-provided controls.', 'The browser plays each sound file in order automatically. The user has controls to stop playback.', 'The browser chooses the first supported sound file and will loop the sound until the user stops it.']",0
71,Which list comprises three empty elements?,"['accesskey', 'shortcut', 'keyboard', 'access']",0
72,"Which snippet of HTML, when clicked, makes a phone call on a mobile device?","['<a href=""mailto:email@example.com&subject=Hello"">Click me</a>', '<a href=""mailto:email@example.com"">Hello</a>', '<a href=""mailto:email@example.com?subject=Hello"">Click me</a>', '<a href=""mailto:email@example.com?&subject=Hello"">Click me</a>']",2
73,What is the purpose of the class attribute?,"['<DOCTYPE html>', '<html>', '<body>', '<root>']",1
74,Which choice is not a legal type attribute for the <input> tag?,['A'],-1
75,"What is the most semantic way to mark up this sentence so that ""happy talk must die"" is rendered as an inline quote?",['B'],-1
76,"What is the most semantically accurate way to make up a main navigation bar, displayed in a horizontal direction?",['C'],0
77,Which choice is the best way to mark up this layout?,['D'],-1
78,Mailing Address,"['charset', 'viewport', 'generator', 'author']",0
79,Mailing Address,['A'],-1
80,Mailing Address,['B'],-1
81,What is the primary purpose of HTML?,['C'],0
82,"For the HTML code below, when will ""Sample Text"" display to the browser?",['D'],-1
83,How will this code render by default in most web browsers?,"['It specifies an image that should display while the video downloads and until the video is played.', 'It specifies an image that only displays if there is a problem with the video.', 'It specifies an image that should display until the video is played.', 'It specifies an image that should display while the video downloads.']",0
84,,"['The text displays over the audio controls, unless CSS is used to position it elsewhere.', 'The text displays under the audio controls.', 'The text displays when the browser cannot play the sound.', 'The text never displays.']",2
85,What is the difference between the <svg> and <canvas>?,"['It allows raster images to be rendered on the webpage.', 'It displays annotated images.', 'It allows drawing on a bitmap via JavaScript.', 'It allows vector images to be rendered on the webpage.']",2
86,What is the difference between the readonly and disabled attributes for the <textarea> element?,"['<details> <abbr> <figcaption>', '<canvas> <select> <noscript>', '<dt> <table> <pre>', '<kbd> <p> <main>']",2
87,"In this code, what is target?","['It establishes the language for the websiteâ€”in this case, English.', 'It establishes the language and dialect for the websiteâ€”in this case, British English.', 'It establishes the language and dialect for the paragraphâ€”in this case, British English.', 'It establishes the language for the paragraphâ€”in this case, English.']",2
88,What is the correct way to add a submit URL to a button element?,"['JPG, GIF, TIF', 'JPG, TIF, BMP', 'TIF, BMP, GIF', 'PNG, GIF, JPG']",3
89,Which is the best markup to produce this text?,"['http://www.linkedin.com/dir/page.html', 'page.html', 'http://www.linkedin.com/page.html', 'dir/page.html']",0
90,What is wrong with this code snippet?,"['<style link=""style.css"">', '<link rel=""stylesheet"" href=""style.css"">', '<style src=""style.css""></style>', '<link style=""style.css"">']",1
91,What is the default method for form submission?,"['Wrap the text in a box that is the right width so everything wraps correctly. Set the box width with CSS.', 'Separate lines with a <p>, then use CSS to make single spacing.', 'Use the <pre> tag to make the line spacing look exactly like you want.', 'Separate the lines with the <br> tag.']",1
