,Question,Answers,Right Index
0,Which types of indexes are available in CosmosDB?,"['range and spatial', 'secondary and primary key', 'secondary and spatial', 'range and primary key']",0
1,You want to connect a DynamoDB stream to AWS Lambda function. Which one of these object do you create?,"['DynamoDB table', 'DynamoDB trigger', 'DynamoDB item', 'DynamoDB index']",1
2,"To index a field that holds an array value in MongoDB, which index type do you create?","['partial', 'sparse', 'compound', 'multikey']",3
3,You want to test HBASE on your laptop using the fewest number of steps. What do you do?,"['Set up Hadoop in pseudo-distributed mode.', 'Set up HBASE in local mode.', 'Set up HBASE in pseudo-distributed mode.', 'Set up Hadoop in local mode.']",1
4,You need to create a document database that supports database triggers. Which NoSQL database should you use?,"['DynamoDB', 'BigTable', 'Redis', 'MongoDB']",0
5,What is recommended size for Redis keys?,"['medium', 'short', 'single bit', 'long']",1
6,What does redis use to sort the elements of a sorted set?,"['Scores.', 'Ids.', 'Values.', 'Keys.']",0
7,You need to change the shard key of an existing MongoDB collection. What do you do?,"['Dump the collection data, drop the collection, create a new collection and shard key, import the data.', 'Add second shard key and drop the first shard key.', 'Dump the collection data, drop the collection, presplit the data, create a new collection and shard key, import the data.', 'Drop and recreate the shard key.']",2
8,Polyglot storage means using multiple types of what in the same application?,"['Security systems.', 'Database systems.', 'Storage systems.', 'Query systems.']",2
9,"You need to implement the simplest possible scalable, in-memory cache for your AWS application. Which service do you select?","['Elasticache using Memcached.', 'DynamoDB.', 'DynamoDB Accelerator (DAX).', 'Elasticache using Redis.']",3
10,You are doing data modelling for Google BigTable. Which statement expresses if and when you should split entities across multiple rows?,"['Keep all information for an entity in a single row. Store related entities in adjacent rows.', 'Keep all information for an entity in a single row.', 'Split entities across multiple rows if the entity data is over thousands of MBs, or if it does not need atomic updates and reads.', 'Split entities across multiple rows if the entity data is over hundreds of MBs, or if it does not need atomic updates and reads.']",3
11,Which two characteristics define Amazon Quantum Ledger Database?,"['Key-value data model; transactionally consistent with ACID semantics.', 'Document data model; transactionally consistent with ACID semantics.', 'Key-value data model; transactions with tunable consistency.', 'Document data model; transactions with tunable consistency.']",1
12,You need to design the primary key for DynamoDB based on three attributes. What do you do?,"['Designate all three fields as the primary key.', 'Concatenate all three fields into one new field, then designate that new field as the primary key.', 'Designate two fields of the three fields as the primary key.', 'Concatenate two fields into one new field, then designate that new field and the remaining field as the primary key.']",1
13,Which of these data types should you avoid in designing a Google Bigtable row key?,"['multi-valued identifiers', 'string identifiers', 'timestamps', 'frequently updated identifiers']",3
14,Your startup is building a prototype that has an evolving schema. Your data will be eventually consistent. Your application is hosted in AWS. Which database do you choose?,"['Neptune', 'DocumentDB', 'DynamoDB', 'Amazon Aurora']",2
15,You need to create a scalable database that allows you to share documents across authorized mobile clients in real time. What Google NoSQL database should you use?,"['Memorystore', 'Datastore', 'Firebase', 'Bigtable']",2
16,You need to design security for DynamoDB to allow users read-only access to certain items and attributes in a table. What do you do?,"['Use IAM roles.', 'Use IAM policy conditions.', 'Use a VPC endpoint.', 'Use IAM policies.']",1
17,Which statement is preferred Cypher code for Neo4j?,"['MATCH (:Person)-->(:Card)-->(:Company) RETURN count(vehicle)', 'Match (:Person)-->(:Car):(vehicle:Car)-->(:Company) RETURN count(vehicle)', 'MATCH (:Person)-->(vehicle:Car)-->(:Company) RETURN count(vehicle)', 'MATCH (:Person)-->(:Card), (vehicle:Car)-->(:Company) RETURN count(vehicle)']",2
18,You need multi-item ACID transactions with snapshot isolation within a partition for your cloud-based application. Which NoSQL databse do you choose?,"['Bigtable', 'GraphDB', 'DynamoDB', 'Cosmos DB']",3
19,You need to control your application's batch updates destination for your Bigtable multinode cluster. Which action do you take?,"['Create a custom app profile to route batch updates.', 'Create a custom app profile to route the batch update from that client.', 'Update the default app profile to route the natch update from that client.', 'Use the default app profile to route batch updates.']",2
20,"Your query to verify that your Redis key is configured to support expiring user information on a defined interval returns -2, What does this value indicate?","['The queried key value expired in the last two seconds.', 'The queried key value exists, but has no associated expire value.', 'The queried key value does not exist.', 'There are two expired keys with this value.']",2
21,You are designing a MongoDB schema to support queries that will include lookups. What should you do?,"['Create an index on the key value used as the primary key.', 'Create an index on the key value used as the foreign key.', 'Create a multicolumn index on the key value used as the foreign key and the most unique column in the document.', 'Create a multicolumn index on the key value used as the primary and also the foreign key.']",2
22,What is the aggregation operator for a join concept in MongoDB?,"['\\$group', '\\$match', '\\$lookup', '\\$project']",2
23,"For your mobile application, you need to select a Google cloud databse that can support compound, filtered document queries. Which do you choose?","['Cloud SQL', 'Cloud Spanner', 'Cloud Firestore', 'Cloud Firebase']",2
24,"To bulk load data into Amazon Neptune, what do you do?","['Upload data to S3 VPC endpoint, Use the Neptune loader to load from s3 into your Neptune instance', 'Ad data to a Kinesis stream, and use the Neptune loader to load from S# into your Neptune instance.', 'Add data to a Kinesis stream, and create a Kinesis stream VPC endpoint. Use the Neptune loader to load from S3 into your Neptune instance.', 'Upload data to S Use the Neptune loader to load from S3 into your Neptune instance.']",0
25,You need to create a pub/sub server. Which database do you use?,"['Neo4j', 'Cassandra', 'Redis', 'MyS#### QL']",2
26,SQL databases and NoSQL are which types of scalable?,"['horizontally, infinitely', 'vertically, horizontally', 'vertically, infinitely', 'horizontally, vertically']",1
27,You need to create a scalable database that allows you to query data nodes and edges efficiently. What do you use?,"['a relational database', 'a columnstore database', 'a document database', 'a graph database']",3
