,Question,Answers,Right Index
0,What does this code output?,"['1', '-1', 'a parser error', '0']",3
1,Which is the most secure way to avoid storing a password in clear text in database?,"['$encrypted = shal($password);', '$encrypted = crypt($password, \\$salt);', '$encrypted = md5($password);', '$encrypted = password_hash($password, PASSWORD_DEFAULT);']",3
2,What does this script do?,"['It makes sure the email address is a good and functioning address', 'It makes an email safe to input into a database', 'It assigns an email to a variable and then removes all illegal characters from the \\$email variable', 'It verifies that an email address is well formed.']",3
3,"In the following script, which line(s) will cause an error(s)?","[""Line 6 will cause an error because you can't reassign a new value to a variable that has already been set."", 'Line 7 and 8 will cause an error. Line 7 has whitespace in $will i work and should be $will_i_work. Line 8 cannot start with a number befcause it is a variable.', 'Line 5 will cause an error because some_string should be someString.', 'Line 3 and 4 will cause an error because a variable cannot start with an underscore(_).']",1
4,"In a conditional statement, you want to execute the code only if both value are true. Which comparison operator should you use?","['||', '&', '<=>', '&&']",3
5,All variables in PHP start with which symbol?,"['&', '%', '_', '$']",3
6,What is a key difference between GET and POST?,"['GET is used with the HTTP protocol. POST is used with HTTPS.', ""GET displays the submitted data as part of the URL. During POST, this information is not shown, as it's encoded in the request body."", 'GET is intended for changing the server state and it carries more data than POST.', 'GET is more secure than POST and should be used for sensitive information.']",1
7,"The  operator is useful for sorting operations. It compares two values and returns an integer less than, equal to, or greater than 0 depending on whether the value on the  is less than, equal to, or greater than the other.","['greater-than; right', 'spaceship; left', 'equality; right', 'comparison; left']",1
8,Which are valid PHP error handling keywords?,"['try, throw, catch, callable', 'try, yield, catch, finally', 'yield, throw, catch, finally', 'try, throw, catch, finally']",3
9,Which value equates to true?,"['0', 'NULL', ""''"", '-1']",3
10,"What is missing from this code, which is supposed to create a test cookies?","['The $_REQUEST is missing.', 'The $_COOKIES array is missing.', 'The cookie session is missing.', 'The call to setcookie() is missing.']",3
11,What is the value of \$total in this calculation?,"['44', '138', '126', '100']",3
12,"What is the purpose of adding a lowercase ""u"" as a modifier after the final delimiter in a Perl-compatible regular expression?","['It makes the dot metacharacter match anything, including newline characters.', 'It makes the pattern match uppercase letters.', 'Both the pattern and subject string are treated as UTF-8.', 'It inverts the greediness of the quantifiers in the pattern so they are not greedy by default.']",2
13,Which code snippet uses the correct syntax for creating an instance of the Pet class?,"['$dog = new Pet;', 'all of these answers', '$horse = (new Pet);', '$cat = new Pet();']",1
